gene_name,TCGA-02-2485-01,TCGA-06-0125-01,TCGA-06-0129-01,TCGA-06-0130-01,TCGA-06-0190-01,TCGA-06-0238-01,TCGA-06-0644-01,TCGA-06-0878-01,TCGA-06-0882-01,TCGA-06-1804-01,TCGA-06-2557-01,TCGA-06-2558-01,TCGA-06-2559-01,TCGA-06-2562-01,TCGA-06-2563-01,TCGA-06-2564-01,TCGA-06-2565-01,TCGA-06-2567-01,TCGA-06-2570-01,TCGA-06-5408-01,TCGA-06-5410-01,TCGA-06-5411-01,TCGA-06-5412-01,TCGA-06-5413-01,TCGA-06-5414-01,TCGA-06-5415-01,TCGA-06-5416-01,TCGA-06-5417-01,TCGA-06-5418-01,TCGA-06-5856-01,TCGA-06-5858-01,TCGA-06-5859-01,TCGA-08-0386-01,TCGA-12-1597-01,TCGA-12-3652-01,TCGA-12-3653-01,TCGA-12-5295-01,TCGA-14-0871-01,TCGA-14-1823-01,TCGA-16-0846-01,TCGA-19-1390-01,TCGA-19-2619-01,TCGA-19-2620-01,TCGA-19-4065-01,TCGA-19-5960-01,TCGA-26-1442-01,TCGA-26-5132-01,TCGA-26-5133-01,TCGA-26-5134-01,TCGA-27-1830-01,TCGA-27-1831-01,TCGA-27-1832-01,TCGA-27-1834-01,TCGA-28-1747-01,TCGA-28-5208-01,TCGA-32-1970-01,TCGA-32-1982-01,TCGA-32-5222-01,TCGA-41-3915-01,TCGA-41-4097-01,TCGA-41-5651-01,TCGA-76-4926-01,TCGA-76-4927-01,TCGA-76-4928-01,TCGA-76-4929-01,TCGA-76-4931-01,TCGA-76-4932-01
ABL1,4.3442,5.1264,5.7388,4.6742,4.5072,3.5136,4.5311,4.8802,4.5802,4.4443,4.2862,4.5154,5.0206,4.4855,4.5868,4.7242,5.4108,4.5503,4.9189,5.6427,4.2335,3.9204,3.637,4.5898,4.5085,4.3148,4.2654,4.4894,4.5311,4.6,4.951,4.391,5.0981,4.174,3.4048,4.0858,3.0199,4.812,2.5163,3.8571,5.347,5.2536,4.4764,4.4128,4.8172,4.1417,4.5205,4.5952,3.9232,4.6352,1.7702,4.1724,4.6,4.2404,4.7725,4.6708,4.1652,3.5086,4.8704,4.3119,5.1048,4.439,5.0562,4.5117,5.1081,5.0998,4.6787
ABL2,1.2147,1.8119,2.2391,2.3981,2.7868,0.6145,2.0535,1.3901,1.2636,1.4962,1.5366,1.3735,1.7446,2.7051,1.105,1.9895,1.7141,1.3511,1.7954,1.5216,1.7009,0.7999,1.595,1.2455,1.7995,1.0151,1.3454,2.4198,1.6187,1.3679,1.8957,0.7916,1.7532,0.3115,-0.3201,1.4962,-0.3022,1.5514,0.5763,1.0779,1.6512,1.4704,1.0433,2.4465,1.5661,1.2756,1.0642,1.5758,1.1447,2.1638,-0.1993,1.2576,1.2815,1.1316,1.3283,1.2934,0.7233,1.0711,1.5806,2.2391,2.0183,1.0151,1.5266,2.4571,1.5902,1.8524,1.4652
ACAA1,5.9991,6.047,6.0104,5.1823,5.8033,5.9971,5.8048,4.9865,6.2184,6.1342,6.1467,5.7986,5.4091,5.7121,5.8615,5.8043,5.723,6.3718,5.859,5.3667,6.051,5.7981,6.1767,5.9679,6.0099,5.7137,5.5072,5.9718,6.219,5.8912,5.8402,5.5373,6.0262,5.8773,5.9784,5.4229,5.4996,5.1429,5.62,6.2176,6.1524,5.881,5.891,6.0629,5.3792,6.5642,6.0139,6.0962,4.9905,6.0466,5.857,6.0215,6.0568,6.3806,5.7512,6.1504,6.0297,5.7046,5.9748,5.9955,5.4673,6.1002,5.9842,5.8724,5.6369,6.2743,5.9704
ACACA,4.1668,4.306,4.4556,3.3925,3.4543,3.6714,3.5399,2.694,3.208,4.2009,3.6555,3.9365,3.9051,3.7421,4.1036,4.067,3.5287,3.4424,4.0858,4.2457,2.7401,3.8023,3.0217,3.5262,3.7561,3.5959,4.0091,4.251,3.245,3.7909,4.3111,4.0216,4.1612,2.9375,2.409,3.695,2.1444,3.928,2.578,4.1351,4.8161,4.1285,3.1245,3.2328,4.3449,4.3484,3.7625,4.5028,3.0181,4.3292,2.2082,3.6195,4.4758,3.9947,3.755,4.4926,2.9655,2.5731,3.3535,3.4088,4.7404,4.1053,3.644,3.5682,4.5318,4.2684,3.8208
ACACB,1.5415,1.4704,2.1541,0.8883,1.2209,0.1648,0.5271,1.8119,1.4808,2.6693,1.7912,1.0363,1.2271,1.4065,1.7316,2.081,2.4544,2.0673,0.7233,1.3167,0.7146,0.8488,0.7999,0.346,1.4547,2.3394,-0.0277,1.1316,0.5955,0.9493,1.6466,2.9243,2.694,0.4447,0.1388,2.3843,-0.3201,0.434,0.2881,1.0847,0.4967,2.2753,2.1574,0.6332,1.8444,0.7832,1.934,1.2333,0.0718,2.0218,-0.394,1.8444,1.736,1.2147,-0.0425,2.6624,1.5216,0.1648,0.7664,2.5804,0.5271,1.3901,0.547,-0.2328,2.2482,1.5758,0.8961
ACADL,-0.1665,0.6969,1.1577,-4.035,-0.5332,-0.4325,-4.2934,-4.035,0.044,2.9966,-2.2447,-1.0559,0.8961,-0.9406,-0.6643,-0.7834,1.8242,2.6138,-1.3183,0.8164,-1.9379,-0.3022,-5.5735,-0.8339,-1.3183,-0.4131,0.2998,-3.0469,-3.458,-0.4719,-1.9942,-1.9379,-0.8599,-1.8314,-1.7809,-6.5064,-3.0469,-2.6349,0.5666,-1.3183,-2.3884,-2.7274,1.0222,-2.3884,-0.7834,-0.8339,-1.8314,-1.5951,0.1903,0.2154,-1.7322,0.0718,1.9527,-2.3884,-0.3201,0.058,-1.0559,-2.4659,0.0014,0.24,-1.1811,1.9931,-1.3921,-3.458,1.1117,-0.9406,-1.685
ACADM,5.1367,5.1235,5.3345,5.1157,5.1498,4.9189,4.9284,5.498,5.3872,5.6259,5.7347,5.505,5.1486,5.3111,5.2204,5.5717,4.7437,5.599,4.7523,5.2211,5.0427,5.3982,5.3442,5.7488,5.298,5.4634,5.1098,5.4941,5.1559,5.6068,5.218,5.5361,5.838,3.8198,4.784,5.2969,4.9982,5.1486,5.5937,4.4243,4.2181,5.254,4.8866,5.6407,5.6311,4.7242,5.403,4.7603,3.6759,5.093,4.7619,4.6282,5.3893,5.1611,5.6668,5.1922,4.858,6.2097,4.7426,5.0018,5.2165,5.5552,4.9069,4.837,5.3381,5.2634,5.6888
ACOX1,4.1053,3.8126,4.0909,3.1011,4.0688,3.3264,3.6983,4.1812,4.2181,4.0171,3.5657,3.9431,3.7625,4.0225,3.7432,4.402,3.7269,4.3723,3.7614,4.2281,3.8431,3.3828,3.637,3.6219,4.4337,3.5994,3.9765,4.6679,4.0383,3.7291,4.1343,4.0926,4.2064,3.3925,3.2328,3.5224,3.7345,1.9564,3.5923,3.4674,3.4958,4.3896,4.0313,3.6838,3.8866,3.9543,4.0627,4.3541,2.7972,3.7561,4.2103,3.4048,4.1145,3.928,3.8866,3.9801,3.6066,3.345,4.1044,4.6617,2.9857,4.1103,4.2921,3.573,4.0109,3.8441,3.7006
ACOX2,2.694,3.6994,0.5955,2.7073,4.1962,1.6093,3.3061,3.2205,4.1103,4.9654,3.0287,2.0111,1.0915,4.3611,3.5535,2.7205,3.7825,4.3111,0.9343,3.5935,3.8935,1.934,3.7248,1.5115,2.409,3.1572,-0.5125,2.0254,3.772,2.4386,3.0411,2.9525,3.1278,0.4447,3.9251,2.93,0.9568,2.2603,2.9071,3.6646,0.3685,2.8321,3.2405,3.7248,2.2175,2.3816,3.9242,1.2875,1.5998,3.4984,3.1572,4.9298,3.5312,3.6578,4.0366,3.0706,3.7237,2.9581,2.4198,4.4816,-0.1345,4.0322,1.934,4.3625,2.5413,4.2654,3.7783
ACOX3,3.3506,3.3979,2.7993,3.9194,2.96,2.9729,3.6939,3.6148,2.7205,3.2856,2.8838,2.9375,2.9356,3.3731,3.7688,2.9765,3.5274,3.6748,2.9413,3.3814,3.1523,3.0002,3.2781,3.421,2.9857,3.2096,2.876,3.3464,3.0092,3.1908,2.909,3.0568,2.9692,3.2112,3.1377,2.9128,3.868,3.0757,1.8643,3.0092,3.5863,3.7667,3.1685,2.4492,2.9525,3.1637,3.2481,2.9911,2.5388,2.9875,2.7095,3.0995,3.2841,3.6393,3.0533,2.8522,2.9784,2.9857,2.9281,3.0533,3.2096,2.5585,3.4088,2.362,3.3221,3.7127,3.2002
