gene_name,TCGA-05-4384-01,TCGA-05-4396-01,TCGA-05-4398-01,TCGA-05-4402-01,TCGA-05-4405-01,TCGA-05-4410-01,TCGA-05-4417-01,TCGA-05-4418-01,TCGA-05-4420-01,TCGA-05-4422-01,TCGA-05-4426-01,TCGA-05-4430-01,TCGA-05-5423-01,TCGA-05-5429-01,TCGA-05-5715-01,TCGA-35-3615-01,TCGA-38-4626-01,TCGA-38-4627-01,TCGA-38-6178-01,TCGA-44-2656-01,TCGA-44-2657-01,TCGA-44-2665-01,TCGA-44-3396-01,TCGA-44-3919-01,TCGA-44-4112-01,TCGA-44-5645-01,TCGA-44-6145-01,TCGA-44-6146-01,TCGA-44-6774-01,TCGA-44-6775-01,TCGA-44-6777-01,TCGA-44-6779-01,TCGA-44-7659-01,TCGA-44-7662-01,TCGA-44-7670-01,TCGA-44-7671-01,TCGA-44-7672-01,TCGA-49-4486-01,TCGA-49-4487-01,TCGA-49-4488-01,TCGA-49-4494-01,TCGA-49-4501-01,TCGA-49-4505-01,TCGA-49-4506-01,TCGA-49-4507-01,TCGA-49-4510-01,TCGA-49-4512-01,TCGA-49-4514-01,TCGA-49-6742-01,TCGA-49-6744-01,TCGA-49-6745-01,TCGA-49-6761-01,TCGA-49-6767-01,TCGA-50-5044-01,TCGA-50-5049-01,TCGA-50-5051-01,TCGA-50-5068-01,TCGA-50-5072-01,TCGA-50-5931-01,TCGA-50-5932-01,TCGA-50-5933-01,TCGA-50-5936-01,TCGA-50-5939-01,TCGA-50-5941-01,TCGA-50-5942-01,TCGA-50-5944-01,TCGA-50-6593-01,TCGA-50-6595-01,TCGA-50-6597-01,TCGA-50-6673-01,TCGA-50-7109-01,TCGA-53-7626-01,TCGA-53-7813-01,TCGA-55-1592-01,TCGA-55-1594-01,TCGA-55-1596-01,TCGA-55-6543-01,TCGA-55-6712-01,TCGA-55-6970-01,TCGA-55-6971-01,TCGA-55-6978-01,TCGA-55-6979-01,TCGA-55-6981-01,TCGA-55-6982-01,TCGA-55-7573-01,TCGA-55-7574-01,TCGA-55-7728-01,TCGA-55-7815-01,TCGA-55-7911-01,TCGA-64-1676-01,TCGA-64-1679-01,TCGA-64-1680-01,TCGA-64-1681-01,TCGA-64-5774-01,TCGA-64-5778-01,TCGA-64-5781-01,TCGA-67-3771-01,TCGA-67-6215-01,TCGA-67-6216-01,TCGA-67-6217-01,TCGA-69-7760-01,TCGA-69-7761-01,TCGA-69-7763-01,TCGA-69-7764-01,TCGA-71-6725-01,TCGA-73-4658-01,TCGA-73-4659-01,TCGA-73-4675-01,TCGA-73-4676-01,TCGA-73-7498-01,TCGA-73-7499-01,TCGA-75-5122-01,TCGA-75-6203-01,TCGA-75-6205-01,TCGA-75-6207-01,TCGA-75-6211-01,TCGA-75-6212-01,TCGA-75-6214-01,TCGA-75-7027-01,TCGA-75-7030-01,TCGA-75-7031-01,TCGA-78-7145-01,TCGA-78-7147-01,TCGA-78-7148-01,TCGA-78-7149-01,TCGA-78-7150-01,TCGA-78-7152-01,TCGA-78-7153-01,TCGA-78-7154-01,TCGA-78-7155-01,TCGA-78-7156-01,TCGA-78-7158-01,TCGA-78-7159-01,TCGA-78-7160-01,TCGA-78-7161-01,TCGA-78-7162-01,TCGA-78-7163-01,TCGA-78-7166-01,TCGA-78-7167-01,TCGA-78-7535-01,TCGA-78-7536-01,TCGA-78-7537-01,TCGA-78-7539-01,TCGA-78-7540-01,TCGA-78-7542-01,TCGA-78-7633-01,TCGA-80-5607-01,TCGA-80-5608-01,TCGA-86-6562-01,TCGA-86-6851-01,TCGA-86-7713-01,TCGA-91-6828-01,TCGA-91-6829-01,TCGA-91-6835-01,TCGA-91-6840-01,TCGA-91-6847-01,TCGA-91-6849-01,TCGA-91-7771-01,TCGA-93-7348-01,TCGA-95-7039-01,TCGA-95-7043-01,TCGA-95-7567-01,TCGA-95-7947-01,TCGA-95-7948-01,TCGA-97-7546-01,TCGA-97-7552-01,TCGA-97-7553-01,TCGA-97-7554-01,TCGA-97-7937-01,TCGA-97-7938-01,TCGA-97-7941-01,TCGA-99-7458-01
ABL1,4.3667,4.6657,4.3249,3.871,4.4764,4.14,4.3779,3.4464,3.6748,4.1716,4.6685,4.067,2.9544,3.1876,3.4504,3.6916,4.4122,3.9847,4.8881,3.69499730806,3.4569,3.42059943258,3.9393,4.3406,3.71856354502,4.16492571014,4.6059,4.01919568447,4.3889,4.22039658765,3.869,4.5417,4.1923,4.5192,4.0782,4.9477,4.0313,3.3745,4.9402,3.4997,3.6566,3.5274,3.6148,2.9052,3.944,3.7204,3.7367,2.8219,4.2343,4.0019,4.3855,4.2064,4.7437,4.2563,3.1523,4.2009,1.9968,3.9002,4.1019,3.9654,4.067,4.8365,4.8177,4.1595,4.6206,4.0091,4.0601,4.8218,3.5827,3.4635,4.073,4.664,3.3619,3.6838,3.644,3.4477,4.2457,3.773,4.5681,5.0592,4.3104,4.067,3.4464,3.8431,4.0383,3.9892,3.4635,3.3177,3.8064,1.5366,4.2714,3.4687,3.7335,4.3653,3.3577,3.87,3.5149,3.9137,4.1078,3.8033,2.727,3.5022,4.594,4.1587,3.6254,3.5718,4.149,3.4791,3.0585,4.6594,3.8531,4.1027,3.8759,4.2297,4.8365,4.3227,4.1433,4.0348,3.9874,4.5547,4.3681,4.026,3.7867,4.2304,3.4331,4.4397,4.2609,4.4277,4.1119,4.3611,4.7798,4.5742,3.8621,4.7945,4.449,4.3024,3.8591,4.0645,4.3618,4.1482,4.5534,4.0567,4.1994,3.6428,4.964,4.5066,4.1907,4.2041,4.3342,4.1359,4.9612,4.3992,4.4263,4.6317,4.284,3.9856,4.0488,4.3435,4.1692,3.603,4.1036,4.7756,5.4764,3.7182,4.7448,3.9947,4.4667,4.4588,3.7367,4.6065,4.0189,4.0593
ABL2,2.0465,1.1706,1.3051,1.2576,2.6325,1.6187,2.2723,0.3796,0.5069,1.5806,1.5064,1.7912,0.7748,-0.1993,1.5266,1.2875,1.7995,1.5563,2.4544,3.64937433826,0.0718,3.82354694055,1.816,1.4494,3.77866613016,2.67976316995,1.7403,1.87355081695,2.3394,3.75248843214,1.9675,3.0893,2.1574,2.7508,1.7316,2.0395,1.816,0.2998,1.5806,0.5859,0.2762,0.9789,1.8119,0.7321,0.2881,0.8246,1.5115,0.8647,1.7489,2.183,2.0707,2.6624,3.1162,2.2144,1.2455,1.7744,-0.0877,1.8363,2.2573,2.3732,3.5324,1.8918,2.3871,2.0254,1.2815,1.0007,1.8643,2.561,1.5165,1.1117,1.1316,1.8957,2.2175,1.7141,1.1577,1.0983,1.4859,2.4386,2.2901,1.736,2.826,2.0147,1.3791,2.5313,1.8242,2.5137,1.0983,3.0927,2.4779,0.8164,1.8282,0.5955,1.5806,1.7744,0.547,2.0465,1.9564,2.0254,1.3225,2.0946,1.7489,1.8444,2.1606,2.0742,1.7097,1.7702,1.6466,1.3225,1.4388,2.1798,1.0363,2.6828,1.0363,2.0111,2.0912,1.9564,1.0983,1.6234,2.036,1.884,2.0776,2.1509,1.2696,1.4652,1.5465,1.8996,1.5806,2.5061,1.0915,2.3953,1.7185,2.3981,2.2452,2.4518,1.934,1.4494,0.5666,1.3846,2.2175,0.8164,1.9226,1.4962,1.9034,0.679,3.3032,1.6604,2.1509,1.5514,2.2872,1.7185,2.3308,2.8838,2.3423,2.5536,1.8604,1.6695,2.1509,2.3106,2.1047,2.0569,1.46,2.5011,1.934,1.5612,2.4701,1.1316,1.9226,2.4701,2.183,2.5036,1.4441,2.6738
ACAA1,6.4613,6.3759,6.0798,5.9964,5.6124,5.093,4.6259,5.6522,4.7049,6.6388,5.8528,4.7772,5.9072,5.7616,4.533,6.4502,5.9677,4.6938,4.5946,4.73432849241,5.119,4.14577547649,5.645,5.2346,4.87895149718,4.81169524348,4.97,5.08720304349,4.5958,4.19882188097,5.1293,5.174,6.1056,4.8807,4.1788,5.9821,4.8535,6.7808,5.0833,5.9561,6.3544,5.7632,5.0396,5.3744,5.2048,5.966,5.8273,4.5079,5.7738,5.0726,5.4877,5.3118,6.2836,5.085,4.7296,5.4871,4.9819,5.1551,4.2142,4.4397,5.0348,4.6804,4.0567,5.4286,5.6121,5.3191,5.3238,4.8074,5.4591,5.0739,4.8675,4.7893,4.0322,5.4074,4.4095,4.4951,5.5386,4.8535,5.0462,5.5364,5.1494,5.1061,5.7225,5.0807,5.2619,5.4202,6.2052,4.0575,5.5668,5.1615,4.5814,5.3534,6.0629,4.0867,6.5384,4.4739,4.3653,5.489,6.1723,5.3785,5.4172,5.5769,5.4101,5.9456,4.9151,5.1506,5.4683,5.7976,5.6303,5.6941,5.1962,5.4397,5.7228,5.2472,4.6106,4.3371,6.3623,4.867,4.6242,5.3541,5.1635,5.7801,4.9982,5.3169,6.1667,4.4297,5.5964,5.6326,4.5098,5.0171,6.2572,5.7509,4.511,4.8525,4.7285,5.8053,5.4637,6.3381,5.5937,5.6442,4.4693,6.1398,5.4809,6.3386,5.2177,4.8299,5.9234,5.5299,4.855,4.7544,5.753,5.3768,4.4496,5.033,5.1518,4.4797,5.9693,5.9709,4.8992,5.0939,4.0001,5.0623,4.3002,5.5614,4.7187,5.575,5.6082,4.7491,4.8645,5.43,5.8483,5.168
ACACA,4.7005,3.7678,4.3349,4.8324,4.3385,4.951,4.0926,3.9728,3.6242,4.245,3.2885,3.7593,3.3307,3.3938,4.591,4.1828,4.9108,2.872,4.1883,4.19753952108,2.9674,3.2002220239,4.2541,4.5766,4.18646138132,4.59756795992,4.0662,4.45795737962,3.793,4.71870987873,3.5098,3.9031,4.1335,4.0233,4.391,4.9146,3.2496,4.7448,3.1458,2.791,3.5791,4.5632,3.2737,3.3993,4.1011,4.1883,3.8023,3.3731,4.3931,4.0867,4.5522,3.0961,3.7762,3.2065,2.8096,4.3234,2.5876,5.1989,4.5669,4.4108,4.1555,3.992,4.2442,4.2304,3.8054,4.6508,4.7571,3.5237,4.2056,5.865,4.1748,4.1939,4.4364,4.4536,4.5916,4.1764,4.0782,4.4938,3.5324,4.4067,3.9099,3.7432,4.846,4.3082,4.3155,3.7138,3.4304,4.857,4.2616,3.9431,3.7182,3.7496,4.251,4.2743,3.3235,2.8582,3.9617,5.0054,3.4102,4.3463,4.3653,3.9204,3.9599,4.7176,5.2036,3.7378,4.2706,4.9458,4.2921,4.4848,4.1954,3.0723,3.8147,4.0515,4.6035,5.5522,3.8993,3.8116,4.4115,2.9413,5.1056,4.4496,4.9275,4.3148,4.5663,4.1384,4.0064,4.1836,6.1773,4.1019,5.1065,4.4894,3.8075,4.6159,4.01,4.6347,3.9478,4.2833,4.5528,3.7193,3.9137,3.7226,3.8954,3.6972,4.3903,4.6623,3.2662,4.2728,4.4713,3.8013,5.7038,4.3646,4.5021,5.0157,4.0977,4.5355,4.6224,3.6928,3.8915,4.8699,5.1942,4.4523,4.0756,4.3299,4.0295,3.3192,4.6554,3.6714,4.4874,4.3053,3.3206,4.2056
ACACB,2.0707,0.9493,-1.0559,0.5666,0.6969,0.4967,0.1257,0.5568,0.4761,1.3051,1.1382,-0.013,-0.3566,-0.7588,-0.6193,0.2154,0.8961,-0.2159,1.3051,1.56286402886,0.434,2.09008200626,0.7748,1.4808,1.54647991504,3.2526619795,1.1641,2.60670531634,0.5069,2.35171601288,0.8726,-0.4719,0.8408,0.0718,0.4233,0.4552,0.2154,-1.3548,1.0915,-0.9686,-1.7809,-0.1828,0.4016,-2.8262,-1.2481,-0.394,0.3796,0.2881,1.6045,0.9716,0.3115,-1.3548,-0.4921,0.0014,0.2154,-0.3566,-0.7588,1.2992,2.0289,0.5271,0.4016,0.4125,0.7664,0.3115,1.6512,2.2144,1.0007,-1.3183,-0.9686,0.8164,0.24,1.4388,1.0573,1.3109,0.0854,0.2029,1.0293,-0.5125,1.5165,1.7912,0.2642,0.2277,0.9862,0.1388,1.46,1.9675,2.0535,0.7664,0.4233,-1.3548,0.5568,-0.1345,1.0079,1.6187,-0.7588,-1.4699,0.6608,-0.3752,1.1316,1.46,-0.3022,1.3225,1.1447,1.7097,-1.4699,0.2762,0.9716,1.8722,-0.3201,1.8282,-0.2498,-0.0425,1.787,1.2023,0.6145,0.0854,0.9716,-1.2481,1.4388,1.3397,-0.1345,-0.1031,1.0983,0.2154,0.1257,1.4065,-0.3022,-0.2671,0.1388,0.3115,0.434,-0.0877,0.044,0.4233,1.4281,0.8568,-2.3884,0.2522,0.9343,0.3231,1.6093,0.2642,0.7493,0.3231,-1.4699,1.8604,0.4967,0.5955,-0.3566,1.7744,3.4674,1.1641,1.0779,1.9034,1.595,0.4552,0.7999,1.7316,1.0503,-0.3752,-0.1993,-0.1504,1.4756,0.9862,1.8282,1.642,1.5998,0.2881,0.4657,1.5998,1.6093,1.2576
ACADL,1.6234,-0.1345,-3.3076,0.2154,-0.9971,-1.5951,-2.5479,-1.685,-9.9658,2.1444,1.8604,0.099,1.125,-2.6349,-1.3548,-1.3548,2.8178,-1.0862,-0.1187,1.83229682294,-2.1779,0.757832257543,-3.6259,-1.1811,-0.679643156418,2.02062661674,-1.2828,1.94522547572,-3.1714,1.81600348131,-2.4659,-5.0116,-1.1488,-9.9658,-0.8599,1.4547,-2.1779,2.3704,1.5514,-2.9324,-0.8599,-1.5522,-1.6394,-3.3076,-1.9942,0.7146,-3.0469,-2.0529,1.0915,0.3907,0.3115,-2.114,-9.9658,1.3167,-3.458,1.0363,-2.5479,1.4962,-1.7322,-1.5105,-9.9658,-0.2328,-0.3022,-0.3752,1.5366,0.547,-1.3548,-4.2934,1.2333,-0.6193,-0.5543,0.7916,-0.7108,1.4065,-1.1488,-5.5735,-0.6873,-3.1714,0.7664,1.6187,-2.3884,-0.7346,-2.0529,-2.0529,0.2154,2.4492,1.1382,-4.2934,0.2522,-2.3884,-5.5735,0.3796,0.1124,-5.0116,-0.9971,-6.5064,-3.458,-0.9971,1.7053,-0.5125,-2.0529,-1.4699,0.9935,0.5859,-2.8262,-1.4699,1.125,-3.0469,-0.5756,0.7493,0.4016,-9.9658,2.971,-2.5479,-2.9324,-3.458,2.4597,-4.6082,-2.1779,1.5415,-0.394,-1.6394,0.7407,0.5568,0.9716,2.5658,-3.6259,-2.8262,-0.8863,0.7832,2.4465,0.4447,-2.3884,0.9642,-0.7588,2.3898,1.6234,-2.5479,-0.0277,-5.5735,1.9302,-6.5064,-1.0262,0.688,-1.1488,-0.5973,0.4865,0.1903,-0.1504,-3.6259,-1.5105,0.3231,-0.4131,-0.5543,-0.9686,-1.3183,-1.3548,-0.5332,1.7446,-0.5756,-4.2934,-6.5064,2.5462,-4.2934,1.8996,1.0293,1.7575,-0.8084,-5.5735,0.1124,1.6327,1.1577
ACADM,5.5811,5.6733,4.1343,5.3726,4.1748,5.1132,4.2235,6.1561,5.5305,5.3958,4.281,4.3646,5.0981,5.0833,4.0515,5.0144,4.4483,4.0773,4.6548,5.06513793661,4.3328,4.0250980324,4.5583,4.701,4.22655001563,4.31934561788,4.7458,4.75084347697,4.5117,5.05403819463,4.5717,5.4125,4.9892,4.5392,4.3702,5.3306,3.8944,5.0392,4.9218,4.4257,3.6172,4.8954,4.0918,2.8219,2.9692,4.6023,2.5852,2.8897,4.7991,4.3625,4.5988,3.2944,4.5167,2.4144,5.0828,4.1668,5.2342,4.943,5.86,5.5021,4.7698,4.4542,5.044,4.6399,4.7955,5.3555,4.4257,4.0739,3.603,4.6165,4.2892,4.0541,3.6771,5.5726,5.5799,4.8635,4.1812,4.3075,5.5604,4.717,4.01,4.4764,4.352,3.6077,5.1732,4.4074,3.1491,5.2836,4.3364,5.0041,4.309,4.9714,4.8798,5.1498,3.9299,4.4128,4.4169,4.6938,4.5964,4.7656,3.907,4.7159,4.546,4.8515,3.3966,4.178,5.1211,3.9515,5.2555,4.5015,4.9672,4.4951,4.2541,4.4189,4.9435,5.3927,5.2208,4.1587,4.2788,4.2548,5.5907,5.2638,4.6927,4.4726,4.3313,4.6966,4.8729,4.8719,4.3002,5.3534,6.3613,5.2134,4.4595,4.8279,5.1575,4.7788,3.1212,3.4251,5.9528,3.5047,5.5699,4.9397,4.5085,3.7226,4.4397,5.4276,4.8069,3.8401,4.2258,4.3169,4.7127,5.0794,5.5085,5.0126,4.481,5.2747,4.8455,4.926,4.2488,4.4745,4.0269,3.7367,5.3136,3.838,5.2555,5.09,4.95,4.0523,4.889,5.0704,4.585,4.7645
ACOX1,4.1547,4.3688,4.2181,4.8243,4.3876,4.0841,4.0419,4.0269,4.4101,4.2072,4.2381,4.0713,3.4804,5.1306,3.9299,3.7028,3.9223,3.5596,3.5399,4.84365998041,3.8218,3.82860427448,4.4536,4.5355,4.54230741128,4.56486027253,4.1931,5.87784508047,3.867,4.6787026197,4.2541,4.4156,4.0383,3.7248,3.8818,4.1628,3.5174,3.9213,3.7356,3.5424,3.4224,3.9654,3.7783,4.1128,3.7867,3.4318,3.2065,3.7571,3.9765,4.1368,4.3848,3.6136,3.794,2.6693,3.6883,3.1426,3.991,3.9746,3.6324,4.8048,4.5862,4.7507,3.9175,4.573,4.1061,4.9805,3.9251,3.2481,4.9241,4.4483,4.0943,4.6106,3.755,4.3249,4.3716,3.87,4.1103,2.8661,3.8249,4.3024,3.3192,4.3356,4.8125,4.5053,4.0109,3.1079,4.0091,4.7033,4.9294,3.6277,3.9774,4.1211,3.6497,4.1899,4.0348,3.0234,4.4183,4.2556,4.1458,4.6118,4.347,4.5261,3.8729,5.1301,4.6877,3.7215,4.3834,3.5791,4.7934,4.0532,3.5863,3.6623,3.9755,3.6804,3.6589,4.4719,3.7825,3.9374,3.8218,3.483,3.8451,4.573,4.0471,4.518,4.235,4.641,4.0251,3.2143,3.869,4.3681,4.2706,3.7561,3.9022,4.5766,3.652,4.0242,3.835,3.8798,3.9947,4.0082,4.0985,3.8279,5.0032,4.3944,3.6543,4.5361,4.2654,4.1002,4.2281,4.2943,4.9477,4.2235,4.0688,4.4829,3.864,3.87,3.6184,4.1748,3.603,3.4843,4.735,4.1053,3.6578,4.4033,3.7982,4.6047,4.4647,4.4562,4.4588,4.5429,4.1498,4.1474
ACOX2,4.2103,3.8886,3.4583,2.909,3.9127,2.2931,2.4252,4.0471,3.9552,1.3901,3.8147,3.2752,3.4451,1.674,2.7594,3.7464,2.3677,2.9802,2.5852,2.35644825955,2.5561,4.40150275179,3.4384,3.5935,3.37910066782,3.58667682453,0.8327,1.6481154803,2.4412,3.12450774714,1.8524,0.8488,4.2906,2.3423,1.1184,3.3364,1.9111,3.5754,2.4883,4.0662,5.7722,2.3816,3.1653,1.1512,2.3019,3.402,3.0181,3.3047,3.6759,3.1344,4.2235,4.2556,2.8096,4.2714,0.8164,4.4417,2.1345,5.0099,-1.685,1.9931,2.6828,4.4919,0.5069,2.4571,4.2274,2.8502,2.6533,2.6348,3.506,4.1119,3.0393,2.5683,4.7893,4.3876,4.3513,0.3573,3.3003,2.1638,3.9346,4.1899,3.6983,2.8994,3.9589,2.9186,3.4371,3.222,4.1044,3.7496,4.834,4.3688,1.934,4.2072,4.2541,3.7335,3.6861,1.4065,1.8524,4.0858,4.7629,2.1798,6.2724,0.9493,2.2723,3.222,2.7007,3.8481,3.5706,3.1045,3.9289,4.0497,2.8779,3.2049,3.1781,2.043,2.7007,3.7356,3.6289,-0.4719,2.7205,2.4198,3.9156,4.235,2.8422,2.3106,4.748,2.7183,2.9281,3.6961,2.8819,-0.4325,3.0358,5.054,3.0287,2.4252,3.3703,2.8582,4.1604,4.7448,4.8202,3.9608,3.8501,3.3549,3.2313,1.9786,2.8916,2.5213,4.2571,3.3264,3.2959,3.1245,4.8768,4.0037,2.3871,2.8462,4.2419,-1.2828,4.4719,4.562,4.664,3.1294,2.5756,3.011,0.679,1.2815,3.4183,1.3846,2.0254,2.753,2.561,3.9022,2.8897,4.2721
ACOX3,4.3681,4.2921,2.3953,3.0411,2.6302,2.8482,3.1507,2.6371,1.692,3.4791,2.6232,2.694,3.8054,2.8321,3.245,2.2783,3.3393,2.7951,2.9765,3.64974215525,3.0568,2.79584030664,3.2944,3.5473,3.62693281929,4.16086814883,3.4291,2.89939952007,3.2944,3.33168700502,2.8681,3.2885,3.6324,3.2929,2.7314,4.0198,4.1684,3.728,2.5363,4.1236,3.3647,3.7635,3.1939,2.1509,2.4623,3.2632,3.8601,4.5104,3.1195,3.6612,3.1765,3.4907,3.7804,3.3633,2.7292,2.4934,3.1924,3.1179,3.3032,3.6883,3.1924,2.971,3.1162,3.3703,2.7444,2.4831,3.2959,3.1377,2.1476,2.05,2.8096,3.1749,3.3647,2.8936,4.6294,3.6242,3.5982,2.3843,2.5561,2.5313,2.9637,2.7993,3.66,2.6067,3.9403,2.9674,3.1797,2.3048,3.3633,4.1359,2.9167,3.4424,4.0627,2.6602,3.7248,3.2602,4.0952,2.6232,3.4237,3.795,2.9525,3.0002,3.2826,2.9128,4.0506,2.9765,2.9875,2.4753,2.2082,4.3477,2.7951,3.1162,3.2343,3.1261,3.9654,2.9674,3.5815,3.8228,3.3407,2.9581,3.4197,3.9506,3.4971,3.3364,3.66,3.6463,3.2722,3.5827,2.9875,3.0533,3.4007,3.4765,2.409,2.5338,1.9749,4.0567,5.3295,3.4635,4.2788,3.9838,2.826,3.9947,3.2127,3.8769,4.2654,2.9729,2.872,3.8925,3.1442,3.6077,3.0092,3.3759,2.9052,3.0217,1.8996,2.9674,4.0816,2.2513,3.5473,2.8462,1.6512,3.1717,3.6006,3.0859,3.1245,3.5249,3.0217,2.5011,3.2374,3.1507,3.0393,3.287
