Gene_num,Gene_name,NodeType
0,ABL1-Geno,Gene-Geno
1,ABL2-Geno,Gene-Geno
2,ACAA1-Geno,Gene-Geno
3,ACACA-Geno,Gene-Geno
4,ACACB-Geno,Gene-Geno
5,ACADL-Geno,Gene-Geno
6,ACADM-Geno,Gene-Geno
7,ACOX1-Geno,Gene-Geno
8,ACOX2-Geno,Gene-Geno
9,ACOX3-Geno,Gene-Geno
10,ACSBG1-Geno,Gene-Geno
11,ACSBG2-Geno,Gene-Geno
12,ACSL1-Geno,Gene-Geno
13,ACSL3-Geno,Gene-Geno
14,ACSL4-Geno,Gene-Geno
15,ACSL5-Geno,Gene-Geno
16,ACSL6-Geno,Gene-Geno
17,ACTA2-Geno,Gene-Geno
18,ACTB-Geno,Gene-Geno
19,ACTG1-Geno,Gene-Geno
20,ACVR1-Geno,Gene-Geno
21,ACVR1B-Geno,Gene-Geno
22,ACVR1C-Geno,Gene-Geno
23,ACVR2A-Geno,Gene-Geno
24,ACVR2B-Geno,Gene-Geno
25,ADAM17-Geno,Gene-Geno
26,ADCY1-Geno,Gene-Geno
27,ADCY10-Geno,Gene-Geno
28,ADCY2-Geno,Gene-Geno
29,ADCY3-Geno,Gene-Geno
30,ADCY4-Geno,Gene-Geno
31,ADCY5-Geno,Gene-Geno
32,ADCY6-Geno,Gene-Geno
33,ADCY7-Geno,Gene-Geno
34,ADCY8-Geno,Gene-Geno
35,ADCY9-Geno,Gene-Geno
36,ADCYAP1-Geno,Gene-Geno
37,ADCYAP1R1-Geno,Gene-Geno
38,ADGRB1-Geno,Gene-Geno
39,ADIPOQ-Geno,Gene-Geno
40,ADIPOR1-Geno,Gene-Geno
41,ADIPOR2-Geno,Gene-Geno
42,ADORA1-Geno,Gene-Geno
43,ADORA2A-Geno,Gene-Geno
44,ADORA2B-Geno,Gene-Geno
45,ADORA3-Geno,Gene-Geno
46,ADRA1A-Geno,Gene-Geno
47,ADRA1B-Geno,Gene-Geno
48,ADRA1D-Geno,Gene-Geno
49,ADRA2A-Geno,Gene-Geno
50,ADRA2B-Geno,Gene-Geno
51,ADRA2C-Geno,Gene-Geno
52,ADRB1-Geno,Gene-Geno
53,ADRB2-Geno,Gene-Geno
54,ADRB3-Geno,Gene-Geno
55,AFDN-Geno,Gene-Geno
56,AFP-Geno,Gene-Geno
57,AGAP2-Geno,Gene-Geno
58,AGER-Geno,Gene-Geno
59,AGRP-Geno,Gene-Geno
60,AGT-Geno,Gene-Geno
61,AGTR1-Geno,Gene-Geno
62,AIFM2-Geno,Gene-Geno
63,AIM2-Geno,Gene-Geno
64,AJUBA-Geno,Gene-Geno
65,AKT1-Geno,Gene-Geno
66,AKT1S1-Geno,Gene-Geno
67,AKT2-Geno,Gene-Geno
68,AKT3-Geno,Gene-Geno
69,ALDOA-Geno,Gene-Geno
70,ALDOB-Geno,Gene-Geno
71,ALDOC-Geno,Gene-Geno
72,AMH-Geno,Gene-Geno
73,AMHR2-Geno,Gene-Geno
74,AMOT-Geno,Gene-Geno
75,ANAPC5-Geno,Gene-Geno
76,ANGPT1-Geno,Gene-Geno
77,ANGPT2-Geno,Gene-Geno
78,ANGPT4-Geno,Gene-Geno
79,ANGPTL4-Geno,Gene-Geno
80,AOX1-Geno,Gene-Geno
81,APAF1-Geno,Gene-Geno
82,APBB1IP-Geno,Gene-Geno
83,APC-Geno,Gene-Geno
84,APC2-Geno,Gene-Geno
85,APH1A-Geno,Gene-Geno
86,APH1B-Geno,Gene-Geno
87,APLN-Geno,Gene-Geno
88,APLNR-Geno,Gene-Geno
89,APOA1-Geno,Gene-Geno
90,APOA2-Geno,Gene-Geno
91,APOA5-Geno,Gene-Geno
92,APOC3-Geno,Gene-Geno
93,AQP7-Geno,Gene-Geno
94,ARAF-Geno,Gene-Geno
95,ARAP3-Geno,Gene-Geno
96,AREG-Geno,Gene-Geno
97,ARF1-Geno,Gene-Geno
98,ARF6-Geno,Gene-Geno
99,ARHGDIA-Geno,Gene-Geno
100,ARHGDIB-Geno,Gene-Geno
101,ARHGDIG-Geno,Gene-Geno
102,ARHGEF12-Geno,Gene-Geno
103,ARNT-Geno,Gene-Geno
104,ARRB1-Geno,Gene-Geno
105,ARRB2-Geno,Gene-Geno
106,ASPH-Geno,Gene-Geno
107,ATF2-Geno,Gene-Geno
108,ATF4-Geno,Gene-Geno
109,ATF6B-Geno,Gene-Geno
110,ATG12-Geno,Gene-Geno
111,ATG16L1-Geno,Gene-Geno
112,ATG5-Geno,Gene-Geno
113,ATM-Geno,Gene-Geno
114,ATP1A1-Geno,Gene-Geno
115,ATP1A2-Geno,Gene-Geno
116,ATP1A3-Geno,Gene-Geno
117,ATP1A4-Geno,Gene-Geno
118,ATP1B1-Geno,Gene-Geno
119,ATP1B2-Geno,Gene-Geno
120,ATP1B3-Geno,Gene-Geno
121,ATP1B4-Geno,Gene-Geno
122,ATP2A1-Geno,Gene-Geno
123,ATP2A2-Geno,Gene-Geno
124,ATP2A3-Geno,Gene-Geno
125,ATP2B1-Geno,Gene-Geno
126,ATP2B2-Geno,Gene-Geno
127,ATP2B3-Geno,Gene-Geno
128,ATP2B4-Geno,Gene-Geno
129,ATP6V1A-Geno,Gene-Geno
130,ATP6V1B1-Geno,Gene-Geno
131,ATP6V1B2-Geno,Gene-Geno
132,ATP6V1C1-Geno,Gene-Geno
133,ATP6V1C2-Geno,Gene-Geno
134,ATP6V1D-Geno,Gene-Geno
135,ATP6V1E1-Geno,Gene-Geno
136,ATP6V1E2-Geno,Gene-Geno
137,ATP6V1F-Geno,Gene-Geno
138,ATP6V1G1-Geno,Gene-Geno
139,ATP6V1G2-Geno,Gene-Geno
140,ATP6V1G3-Geno,Gene-Geno
141,ATP6V1H-Geno,Gene-Geno
142,ATR-Geno,Gene-Geno
143,ATXN1-Geno,Gene-Geno
