src,dest,EdgeType
ABL1-Geno,ABL1-Tran,Gene-Geno-Gene-Tran
ABL2-Geno,ABL2-Tran,Gene-Geno-Gene-Tran
ACAA1-Geno,ACAA1-Tran,Gene-Geno-Gene-Tran
ACACA-Geno,ACACA-Tran,Gene-Geno-Gene-Tran
ACACB-Geno,ACACB-Tran,Gene-Geno-Gene-Tran
ACADL-Geno,ACADL-Tran,Gene-Geno-Gene-Tran
ACADM-Geno,ACADM-Tran,Gene-Geno-Gene-Tran
ACOX1-Geno,ACOX1-Tran,Gene-Geno-Gene-Tran
ACOX2-Geno,ACOX2-Tran,Gene-Geno-Gene-Tran
ACOX3-Geno,ACOX3-Tran,Gene-Geno-Gene-Tran
ACSBG1-Geno,ACSBG1-Tran,Gene-Geno-Gene-Tran
ACSBG2-Geno,ACSBG2-Tran,Gene-Geno-Gene-Tran
ACSL1-Geno,ACSL1-Tran,Gene-Geno-Gene-Tran
ACSL3-Geno,ACSL3-Tran,Gene-Geno-Gene-Tran
ACSL4-Geno,ACSL4-Tran,Gene-Geno-Gene-Tran
ACSL5-Geno,ACSL5-Tran,Gene-Geno-Gene-Tran
ACSL6-Geno,ACSL6-Tran,Gene-Geno-Gene-Tran
ACTA2-Geno,ACTA2-Tran,Gene-Geno-Gene-Tran
ACTB-Geno,ACTB-Tran,Gene-Geno-Gene-Tran
ACTG1-Geno,ACTG1-Tran,Gene-Geno-Gene-Tran
ACVR1-Geno,ACVR1-Tran,Gene-Geno-Gene-Tran
ACVR1B-Geno,ACVR1B-Tran,Gene-Geno-Gene-Tran
ACVR1C-Geno,ACVR1C-Tran,Gene-Geno-Gene-Tran
ACVR2A-Geno,ACVR2A-Tran,Gene-Geno-Gene-Tran
ACVR2B-Geno,ACVR2B-Tran,Gene-Geno-Gene-Tran
ADAM17-Geno,ADAM17-Tran,Gene-Geno-Gene-Tran
ADCY1-Geno,ADCY1-Tran,Gene-Geno-Gene-Tran
ADCY10-Geno,ADCY10-Tran,Gene-Geno-Gene-Tran
ADCY2-Geno,ADCY2-Tran,Gene-Geno-Gene-Tran
ADCY3-Geno,ADCY3-Tran,Gene-Geno-Gene-Tran
ADCY4-Geno,ADCY4-Tran,Gene-Geno-Gene-Tran
ADCY5-Geno,ADCY5-Tran,Gene-Geno-Gene-Tran
ADCY6-Geno,ADCY6-Tran,Gene-Geno-Gene-Tran
ADCY7-Geno,ADCY7-Tran,Gene-Geno-Gene-Tran
ADCY8-Geno,ADCY8-Tran,Gene-Geno-Gene-Tran
ADCY9-Geno,ADCY9-Tran,Gene-Geno-Gene-Tran
ADCYAP1-Geno,ADCYAP1-Tran,Gene-Geno-Gene-Tran
ADCYAP1R1-Geno,ADCYAP1R1-Tran,Gene-Geno-Gene-Tran
ADGRB1-Geno,ADGRB1-Tran,Gene-Geno-Gene-Tran
ADIPOQ-Geno,ADIPOQ-Tran,Gene-Geno-Gene-Tran
ADIPOR1-Geno,ADIPOR1-Tran,Gene-Geno-Gene-Tran
ADIPOR2-Geno,ADIPOR2-Tran,Gene-Geno-Gene-Tran
ADORA1-Geno,ADORA1-Tran,Gene-Geno-Gene-Tran
ADORA2A-Geno,ADORA2A-Tran,Gene-Geno-Gene-Tran
ADORA2B-Geno,ADORA2B-Tran,Gene-Geno-Gene-Tran
ADORA3-Geno,ADORA3-Tran,Gene-Geno-Gene-Tran
ADRA1A-Geno,ADRA1A-Tran,Gene-Geno-Gene-Tran
ADRA1B-Geno,ADRA1B-Tran,Gene-Geno-Gene-Tran
ADRA1D-Geno,ADRA1D-Tran,Gene-Geno-Gene-Tran
ADRA2A-Geno,ADRA2A-Tran,Gene-Geno-Gene-Tran
ADRA2B-Geno,ADRA2B-Tran,Gene-Geno-Gene-Tran
ADRA2C-Geno,ADRA2C-Tran,Gene-Geno-Gene-Tran
ADRB1-Geno,ADRB1-Tran,Gene-Geno-Gene-Tran
ADRB2-Geno,ADRB2-Tran,Gene-Geno-Gene-Tran
ADRB3-Geno,ADRB3-Tran,Gene-Geno-Gene-Tran
AFDN-Geno,AFDN-Tran,Gene-Geno-Gene-Tran
AFP-Geno,AFP-Tran,Gene-Geno-Gene-Tran
