gene_name,TCGA-AF-2690-01,TCGA-AF-6136-01,TCGA-AF-6655-01,TCGA-AF-6672-01,TCGA-AF-A56N-01,TCGA-AG-3591-01,TCGA-AG-3725-01,TCGA-AG-3731-01,TCGA-AG-3742-01,TCGA-AG-4021-01,TCGA-AG-4022-01,TCGA-AH-6544-01,TCGA-AH-6547-01,TCGA-AH-6643-01,TCGA-AH-6644-01,TCGA-AH-6897-01,TCGA-CI-6621-01,TCGA-CL-5918-01,TCGA-DC-4745-01,TCGA-DC-4749-01,TCGA-DC-5337-01,TCGA-DC-5869-01,TCGA-DC-6155-01,TCGA-DC-6157-01,TCGA-DC-6158-01,TCGA-DC-6160-01,TCGA-DC-6681-01,TCGA-DC-6682-01,TCGA-DC-6683-01,TCGA-DT-5265-01,TCGA-DY-A0XA-01,TCGA-DY-A1DC-01,TCGA-DY-A1DD-01,TCGA-DY-A1DF-01,TCGA-DY-A1DG-01,TCGA-DY-A1H8-01,TCGA-EF-5830-01,TCGA-EI-6506-01,TCGA-EI-6507-01,TCGA-EI-6508-01,TCGA-EI-6509-01,TCGA-EI-6510-01,TCGA-EI-6511-01,TCGA-EI-6512-01,TCGA-EI-6513-01,TCGA-EI-6514-01,TCGA-EI-6881-01,TCGA-EI-6882-01,TCGA-EI-6884-01,TCGA-EI-6885-01,TCGA-EI-6917-01,TCGA-F5-6464-01,TCGA-F5-6465-01,TCGA-F5-6571-01,TCGA-F5-6702-01,TCGA-F5-6811-01,TCGA-F5-6812-01,TCGA-F5-6813-01,TCGA-F5-6861-01,TCGA-F5-6863-01,TCGA-F5-6864-01,TCGA-G5-6641-01
ABL1,4.5066,4.2358,5.257,4.3148,4.6323,3.772,4.8243,4.6491,5.1441,4.2181,3.8208,4.3428,4.4634,4.018,4.9227,4.4417,4.4719,3.3605,4.5784,3.7603,3.449,3.97,2.0742,4.917,4.6713,4.7027,4.756,4.1844,4.5814,4.2654,4.8002,4.3765,3.695,3.6382,4.2533,4.0278,3.652,4.5946,4.7507,4.623,4.1449,4.6,3.9031,4.3263,4.7442,4.0091,4.2088,4.6617,5.1583,4.7835,4.5318,4.3234,4.7377,4.3807,4.5808,4.3002,4.3903,5.1482,4.9937,4.711,5.2032,4.6691
ABL2,1.5612,1.1382,1.6695,1.4962,1.7489,0.5069,-0.0574,1.8801,1.2576,1.0503,1.0983,1.0642,1.5115,1.9302,2.2268,0.9268,1.7316,0.4125,0.24,0.6239,-0.2671,0.7146,1.1512,1.6649,2.0111,1.4174,1.1447,1.6093,1.5998,0.8805,1.4494,1.2023,0.7058,0.099,0.8164,2.3048,0.1124,1.412,1.8323,1.7575,0.5763,0.5069,0.9789,0.547,1.0363,0.7999,0.2881,1.46,0.8726,2.2633,1.1447,1.9073,1.9601,0.8961,1.9415,1.2271,1.0433,1.9149,0.8082,1.4808,1.5998,0.9115
ACAA1,4.834,5.7661,5.8022,5.6545,5.7522,5.3737,6.2221,5.6662,5.6846,5.7315,5.4202,4.8753,5.726,5.6071,5.3944,5.2694,5.0618,5.5705,5.7466,5.7266,5.3205,5.5531,5.2795,5.6562,5.98,5.7851,5.3165,2.8158,5.0068,5.0122,5.6372,5.5949,6.0862,6.0411,5.7858,5.9414,6.1777,5.9695,4.6479,5.3744,6.0734,6.6683,5.4463,5.0751,5.6982,4.8929,6.059,4.9222,6.1502,5.5242,4.8555,5.0,5.3858,5.3512,5.8387,5.3597,4.7887,5.4233,6.2083,5.7461,5.7442,6.1396
ACACA,3.4318,3.3148,4.0322,3.7646,4.3597,3.4464,4.2951,4.222,4.2571,4.6955,2.7826,4.2943,2.9413,4.0977,3.3393,5.6103,4.0419,3.8023,2.6918,3.7518,3.3293,3.1971,3.3979,3.6916,4.0001,3.5621,3.772,5.1268,4.225,3.837,3.6623,3.9901,3.3828,2.4544,3.9459,3.5645,2.9013,3.6646,3.1939,4.1515,2.561,3.7982,3.2328,3.836,4.2781,3.4424,3.9384,3.9938,4.2227,4.0627,4.2412,3.6748,3.6566,3.1491,3.0791,3.8187,2.8877,3.836,4.3378,2.8681,4.5632,3.8611
ACACB,2.2175,1.9859,1.4962,1.884,1.816,0.6239,1.4962,1.2209,1.5514,1.125,1.8957,0.4125,2.0076,1.3956,1.0573,1.7229,1.1641,1.0363,0.6145,1.6604,0.0014,0.5271,0.2029,1.4065,2.4198,2.1114,1.7702,1.412,1.8201,1.934,0.7664,-0.013,1.1577,1.5563,1.5563,1.1641,1.4494,1.7446,2.1766,2.3164,1.5709,1.9675,1.7744,1.8404,2.2299,1.5064,0.9419,0.6332,1.9968,1.105,0.1257,0.9493,1.8119,2.362,1.3623,1.9149,1.9564,0.547,1.3679,2.3251,1.7575,1.5902
ACADL,-1.7322,-5.0116,-9.9658,-3.0469,-9.9658,-9.9658,-9.9658,-5.5735,-9.9658,-4.2934,-5.5735,-9.9658,-5.5735,-4.6082,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658,-5.5735,-9.9658,-9.9658,-9.9658,-6.5064,-9.9658,-9.9658,-5.5735,-3.816,-9.9658,-4.2934,-9.9658,-9.9658,-6.5064,-3.816,-5.0116,-9.9658,-9.9658,-6.5064,-1.0262,-9.9658,-6.5064,-9.9658,-9.9658,-9.9658,-6.5064,-5.5735,-5.0116,-3.0469,-9.9658,-9.9658,-5.0116,-5.5735,-5.0116,-6.5064,-5.5735,-9.9658,-2.2447,-2.7274,-9.9658,-3.3076,-5.5735,-4.035
ACADM,4.4183,3.7389,4.0782,4.6809,4.445,4.4751,4.4317,4.6821,4.4693,3.7752,4.7565,3.9223,4.9468,4.281,4.1351,4.7725,4.1867,3.9318,4.2914,4.6804,5.3176,5.1281,0.6517,4.5626,4.6023,4.5994,4.5675,4.623,4.7285,3.8085,4.5236,4.2526,3.2481,3.6195,2.5731,1.6234,4.2243,4.0645,4.9951,5.2068,3.7094,5.856,4.0233,3.7507,5.1268,4.3944,4.717,5.3775,5.4861,4.1219,4.2088,3.4569,5.3527,5.2346,3.9645,4.6201,3.1245,3.1011,5.2319,4.0153,5.073,4.8983
ACOX1,3.87,3.8581,3.8954,3.5669,4.0679,3.8269,3.7709,3.8847,4.034,3.836,4.425,3.9384,4.5392,3.417,3.9327,5.1215,4.0593,3.5923,4.1061,4.1899,4.4529,4.2624,4.7138,4.2009,3.9137,4.6329,4.3513,4.5072,5.5515,2.8602,4.6617,3.6125,3.5887,3.2282,4.735,4.2041,4.2412,4.6253,3.8269,3.3192,3.992,4.4509,4.5142,4.1376,4.1103,4.4074,4.4006,4.0295,4.1692,4.3779,3.6428,3.9118,4.5117,4.5808,4.3184,4.373,3.6849,4.174,4.2488,4.1343,4.6083,4.6849
ACOX2,2.128,3.7518,3.402,4.0653,5.5015,2.8076,3.7486,2.9394,3.1892,2.7292,4.9265,3.7138,2.2842,0.044,3.1813,2.5288,3.4143,2.93,3.6359,2.8562,2.5731,3.2496,2.651,4.208,2.167,4.0816,5.0414,2.7465,4.4906,2.2813,3.9515,3.6266,4.2142,4.314,4.1531,4.7312,4.2343,3.755,-0.0425,2.8622,1.683,4.4848,3.0808,2.9507,1.4756,3.449,3.5362,2.9071,3.0145,4.0251,0.6517,1.125,4.673,3.3321,2.561,4.2266,3.5199,3.1095,4.4216,4.6753,3.8935,3.074
ACOX3,2.7508,2.6556,3.1781,2.3135,3.6994,1.7912,2.6783,2.9857,3.483,3.0411,3.6335,3.3235,3.1892,2.7073,3.1556,2.9262,3.011,3.7432,3.4156,3.9626,3.7783,3.2617,5.3238,3.4933,3.1062,2.2513,3.7667,2.7951,2.7763,3.5009,3.0619,3.5337,4.0392,3.5324,3.6474,2.3308,2.8955,3.2496,2.3816,3.4304,3.1294,3.4451,3.2647,3.0323,2.0776,3.3521,3.0533,2.5707,3.7127,3.2189,3.0842,2.7784,3.9673,2.2813,2.6715,3.1765,3.3869,2.6783,3.6838,3.1924,3.7182,3.4971
ACSBG1,-4.6082,-2.3147,-2.9324,-4.035,-4.035,-5.5735,-4.2934,-2.8262,-2.7274,-3.6259,-3.3076,-4.6082,-2.7274,-2.8262,-3.816,-1.4699,-4.2934,-4.2934,-5.0116,-3.458,-6.5064,-3.6259,-9.9658,-3.6259,-3.458,-2.9324,-4.035,-5.0116,-3.3076,-1.7809,-3.458,-4.6082,-2.5479,-5.0116,-5.5735,-2.9324,-4.6082,-4.2934,-5.0116,-4.035,-4.035,-3.1714,-5.0116,-4.2934,-4.035,-9.9658,-5.0116,-2.5479,-4.2934,-3.816,-1.5951,-3.458,-4.6082,-5.0116,-3.458,-4.6082,-3.6259,-4.6082,-4.6082,-2.8262,-3.0469,-4.2934
ACSBG2,-3.816,-4.035,-3.0469,-4.2934,-4.6082,-4.6082,-3.816,-4.6082,-4.6082,-1.2481,-3.0469,-6.5064,-3.6259,-4.6082,-6.5064,-2.0529,-3.3076,-2.3147,-3.0469,-6.5064,-2.7274,-3.3076,-3.816,-2.8262,-5.0116,-1.9942,-2.7274,-3.458,-3.1714,-4.6082,-2.8262,-6.5064,-4.2934,-4.6082,-3.0469,-4.6082,-3.816,-3.6259,-4.6082,-3.3076,-5.0116,-4.6082,-5.5735,-3.1714,-3.816,-6.5064,-3.0469,-9.9658,-6.5064,-4.6082,-5.0116,-9.9658,-3.3076,-5.5735,-5.0116,-9.9658,-5.0116,-3.6259,-3.3076,-4.6082,-4.6082,-4.035
