gene_name,TCGA-3L-AA1B-01,TCGA-4N-A93T-01,TCGA-4T-AA8H-01,TCGA-5M-AAT6-01,TCGA-A6-2685-01,TCGA-A6-2686-01,TCGA-A6-5657-01,TCGA-A6-5660-01,TCGA-A6-5661-01,TCGA-A6-5662-01,TCGA-A6-5664-01,TCGA-A6-5665-01,TCGA-A6-5666-01,TCGA-A6-5667-01,TCGA-A6-6137-01,TCGA-A6-6138-01,TCGA-A6-6142-01,TCGA-A6-6648-01,TCGA-A6-6649-01,TCGA-A6-6651-01,TCGA-A6-6652-01,TCGA-A6-6653-01,TCGA-A6-6654-01,TCGA-A6-6782-01,TCGA-A6-A566-01,TCGA-AA-3489-01,TCGA-AA-3492-01,TCGA-AA-3496-01,TCGA-AA-3502-01,TCGA-AA-3506-01,TCGA-AA-3511-01,TCGA-AA-3655-01,TCGA-AA-3712-01,TCGA-AA-3713-01,TCGA-AA-A01P-01,TCGA-AD-5900-01,TCGA-AD-6548-01,TCGA-AD-6889-01,TCGA-AD-6899-01,TCGA-AD-6965-01,TCGA-AD-A5EJ-01,TCGA-AM-5820-01,TCGA-AM-5821-01,TCGA-AU-6004-01,TCGA-AY-5543-01,TCGA-AY-6196-01,TCGA-AY-6197-01,TCGA-AY-6386-01,TCGA-AY-A54L-01,TCGA-AY-A69D-01,TCGA-AY-A71X-01,TCGA-AY-A8YK-01,TCGA-AZ-4315-01,TCGA-AZ-4323-01,TCGA-AZ-4614-01,TCGA-AZ-4615-01,TCGA-AZ-4682-01,TCGA-AZ-5407-01,TCGA-AZ-6598-01,TCGA-AZ-6599-01,TCGA-AZ-6600-01,TCGA-AZ-6603-01,TCGA-AZ-6605-01,TCGA-AZ-6606-01,TCGA-CA-5254-01,TCGA-CA-5255-01,TCGA-CA-5256-01,TCGA-CA-5796-01,TCGA-CA-5797-01,TCGA-CA-6715-01,TCGA-CA-6716-01,TCGA-CA-6717-01,TCGA-CA-6718-01,TCGA-CA-6719-01,TCGA-CK-5914-01,TCGA-CK-5916-01,TCGA-CK-6746-01,TCGA-CK-6747-01,TCGA-CK-6748-01,TCGA-CK-6751-01,TCGA-CM-4743-01,TCGA-CM-4744-01,TCGA-CM-4747-01,TCGA-CM-5344-01,TCGA-CM-5348-01,TCGA-CM-5349-01,TCGA-CM-5860-01,TCGA-CM-5861-01,TCGA-CM-5862-01,TCGA-CM-5863-01,TCGA-CM-5864-01,TCGA-CM-5868-01,TCGA-CM-6161-01,TCGA-CM-6163-01,TCGA-CM-6165-01,TCGA-CM-6166-01,TCGA-CM-6167-01,TCGA-CM-6168-01,TCGA-CM-6169-01,TCGA-CM-6170-01,TCGA-CM-6171-01,TCGA-CM-6172-01,TCGA-CM-6674-01,TCGA-CM-6675-01,TCGA-CM-6676-01,TCGA-CM-6677-01,TCGA-CM-6678-01,TCGA-CM-6679-01,TCGA-CM-6680-01,TCGA-D5-5539-01,TCGA-D5-5540-01,TCGA-D5-5541-01,TCGA-D5-6529-01,TCGA-D5-6530-01,TCGA-D5-6531-01,TCGA-D5-6532-01,TCGA-D5-6533-01,TCGA-D5-6534-01,TCGA-D5-6535-01,TCGA-D5-6536-01,TCGA-D5-6537-01,TCGA-D5-6538-01,TCGA-D5-6539-01,TCGA-D5-6540-01,TCGA-D5-6541-01,TCGA-D5-6920-01,TCGA-D5-6922-01,TCGA-D5-6924-01,TCGA-D5-6926-01,TCGA-D5-6927-01,TCGA-D5-6928-01,TCGA-D5-6930-01,TCGA-D5-6931-01,TCGA-D5-6932-01,TCGA-DM-A0X9-01,TCGA-DM-A0XF-01,TCGA-DM-A1D0-01,TCGA-DM-A1D4-01,TCGA-DM-A1D7-01,TCGA-DM-A1D8-01,TCGA-DM-A1D9-01,TCGA-DM-A1DA-01,TCGA-DM-A1DB-01,TCGA-DM-A1HA-01,TCGA-DM-A1HB-01,TCGA-DM-A280-01,TCGA-DM-A282-01,TCGA-DM-A288-01,TCGA-DM-A28A-01,TCGA-DM-A28C-01,TCGA-DM-A28E-01,TCGA-DM-A28F-01,TCGA-DM-A28G-01,TCGA-DM-A28M-01,TCGA-F4-6459-01,TCGA-F4-6460-01,TCGA-F4-6461-01,TCGA-F4-6463-01,TCGA-F4-6569-01,TCGA-F4-6570-01,TCGA-F4-6703-01,TCGA-F4-6704-01,TCGA-F4-6805-01,TCGA-F4-6806-01,TCGA-F4-6807-01,TCGA-F4-6808-01,TCGA-F4-6809-01,TCGA-F4-6854-01,TCGA-F4-6855-01,TCGA-F4-6856-01,TCGA-G4-6293-01,TCGA-G4-6294-01,TCGA-G4-6295-01,TCGA-G4-6297-01,TCGA-G4-6298-01,TCGA-G4-6299-01,TCGA-G4-6302-01,TCGA-G4-6303-01,TCGA-G4-6304-01,TCGA-G4-6306-01,TCGA-G4-6307-01,TCGA-G4-6309-01,TCGA-G4-6311-01,TCGA-G4-6315-01,TCGA-G4-6317-01,TCGA-G4-6320-01,TCGA-G4-6321-01,TCGA-G4-6322-01,TCGA-G4-6586-01,TCGA-G4-6588-01,TCGA-G4-6626-01,TCGA-G4-6627-01,TCGA-G4-6628-01,TCGA-NH-A50T-01,TCGA-NH-A50V-01,TCGA-NH-A5IV-01,TCGA-NH-A6GA-01,TCGA-NH-A6GB-01,TCGA-NH-A6GC-01,TCGA-NH-A8F7-01,TCGA-NH-A8F8-01,TCGA-QG-A5YV-01,TCGA-QG-A5YW-01,TCGA-QG-A5YX-01,TCGA-QG-A5Z1-01,TCGA-QG-A5Z2-01,TCGA-QL-A97D-01,TCGA-RU-A8FL-01,TCGA-SS-A7HO-01,TCGA-T9-A92H-01
ABL1,4.5632,4.5268,4.2134,4.1228,4.5324,4.1069,4.916,4.5772,3.57904669014,4.3938,4.6713,3.70423369874,3.7741,4.3999,5.0343,5.0299,4.3097,4.8881,4.652,4.8807,4.551,4.7132,4.6317,4.2877,4.4364,4.9677,3.9327,4.861,4.2281,4.3576,4.2847,4.5559,4.847,4.5342,4.0833,4.4006,4.2788,3.9691,4.9828,5.0339,4.3206,4.5015,3.2481,4.5268,3.9636,4.9801,4.1828,4.5583,4.0713,4.7528,3.7345,4.2803,3.5994,4.6095,3.9589,4.245,3.5827,4.1269,4.4054,4.6479,4.6944,4.8059,4.6089,4.1692,4.1236,3.3563,3.4102,4.391,4.4771,4.565,4.6101,4.3399,4.8739,4.8565,4.8929,4.2281,3.7039,4.8375,4.6955,4.3758,3.2722,3.3177,4.3611,4.2304,4.8043,4.3793,3.4997,3.7291,3.4116,4.1836,3.7656,4.6323,3.9327,4.7372,4.7861,4.3213,5.1069,4.6018,4.5028,4.9787,4.449,4.9331,4.1053,4.7767,4.5355,4.3751,3.7313,4.7861,4.8495,4.1772,2.9167,4.8555,4.5009,4.6888,4.6029,4.858,4.6247,4.6236,4.5398,4.5367,4.2472,3.6657,4.9002,4.3133,4.2009,4.6242,5.2799,4.6742,5.114,4.4108,4.5021,4.5361,4.5826,4.7698,4.4417,3.0757,4.2064,4.0348,4.0251,4.3972,4.2728,4.287,4.4108,4.849,3.6254,3.5633,4.352,3.8915,4.9691,4.8675,4.2434,4.4964,4.0189,4.1644,4.7044,4.863,4.9194,4.7788,4.6077,4.2676,4.3889,4.8309,4.8565,4.5485,4.9036,3.4907,4.3604,4.7165,4.7825,4.6657,4.3527,3.9755,4.8197,4.3972,4.4673,4.1994,4.9165,5.1453,4.2281,4.1252,4.6277,4.2258,4.5904,4.7919,4.3449,4.2048,3.8033,3.9709,4.1094,4.7138,4.8842,4.6364,4.4283,4.2624,4.2266,4.5553,4.3695,4.1044,5.0562,4.7629,3.8461,4.8485,4.1692,4.5534,4.975,4.8187,4.5778,3.4687,4.4803,4.6927
ABL2,0.9493,0.7916,0.4865,1.6512,1.0779,0.9789,1.4547,1.1577,1.98465532831,1.2147,1.8918,2.42253709973,0.8327,1.4962,1.1447,1.2516,1.0642,2.0111,1.5465,2.128,1.7575,0.4865,1.9415,1.0915,2.0076,1.7141,-0.3383,1.1833,0.1257,0.1648,0.8164,0.9493,1.7446,1.2085,1.0503,0.7407,1.4065,0.2881,1.5563,1.125,0.9038,1.3109,0.6517,1.2636,0.2762,2.3704,1.7995,0.4016,0.8246,1.9188,0.7058,1.2516,-0.9406,2.0395,0.9115,0.5069,0.5666,0.3907,0.547,0.4967,1.9931,1.2636,1.105,1.4011,0.8647,0.1124,-0.4131,-0.1031,1.7995,1.3567,1.5316,1.1117,1.1512,1.6187,1.0433,1.0151,0.5568,0.3685,1.0642,0.4967,0.6699,-1.3183,1.1577,0.9789,2.0147,1.7316,0.2642,0.3796,0.7832,1.0151,0.2762,0.9642,0.9789,1.8282,1.8683,1.0151,1.9111,1.4174,1.7954,1.4859,1.5514,0.9789,0.8488,0.3685,1.4704,1.1382,0.6425,1.7097,1.2934,1.8444,0.4016,1.3567,1.3167,0.7407,0.7832,1.3051,1.5998,1.7575,1.2696,2.296,0.2154,1.2085,0.5859,0.7233,0.6699,1.0711,2.2391,1.949,1.614,0.8246,1.1897,0.4967,0.8647,1.4011,1.2636,0.7407,0.3907,0.8327,0.5955,0.7832,0.7146,0.434,1.46,1.2516,-0.1828,0.24,0.8164,0.688,1.674,1.4859,1.2394,1.2023,0.434,0.688,1.884,1.2147,1.2875,1.3454,1.334,0.9862,1.9712,1.3901,1.3397,1.0433,2.0604,-0.1187,1.5709,1.1833,2.081,0.5859,0.6517,0.688,1.0151,2.0912,1.334,1.7489,1.3623,2.3423,0.7233,0.4967,1.0983,0.8883,1.7446,0.8883,0.3573,0.2881,-0.5332,0.7916,0.0854,0.6517,1.2516,1.5366,1.5415,0.6332,1.196,1.4652,1.8484,0.434,0.9568,1.3225,1.4652,1.2394,0.5666,0.8647,1.2455,1.0151,1.5165,0.7058,1.9226,0.7493
ACAA1,5.0189,6.3684,6.0553,5.009,5.5862,4.3772,5.608,5.2947,4.89485185662,5.3558,5.5601,4.75332616382,4.8304,4.7767,5.2134,4.6183,6.204,5.4213,5.8885,4.6866,5.2025,5.0104,4.84,5.3184,5.5267,5.3523,4.9482,5.1879,5.442,5.5395,5.4532,5.5081,5.1855,5.0926,5.3622,4.7307,5.7877,6.2515,6.0938,6.7373,5.9129,5.5485,5.2888,5.9435,5.5568,5.433,4.9603,6.3502,6.2321,6.3558,5.6094,5.0884,6.1408,5.0794,4.5994,5.2895,5.6685,5.7772,4.9256,5.5448,5.4989,5.2064,5.2983,5.7934,5.7743,6.1865,5.7066,5.1704,5.1603,5.5223,5.3284,4.9869,4.4739,4.6899,5.1111,4.856,5.2327,5.3241,4.796,5.5211,5.7864,5.8253,4.905,4.8778,5.8056,5.7777,5.4542,4.9978,4.0756,4.95,5.4506,5.6974,7.0457,4.6866,5.2476,5.1899,4.6849,5.677,4.9444,5.4644,5.8225,5.0401,5.5252,5.243,5.1002,4.6623,5.1954,5.4327,5.3719,5.1152,5.0054,5.1388,5.1006,5.0086,4.1203,5.2095,5.2407,5.6574,4.8141,5.0313,5.0972,5.6854,6.3539,5.4683,6.1924,5.9038,5.1314,5.7605,5.7385,6.1691,5.0462,5.5088,5.6238,5.844,5.5339,6.1958,6.5148,5.2423,5.6554,5.4754,6.1997,5.7973,5.6971,5.4077,5.4283,6.1449,5.36,6.4298,5.7222,5.9141,5.2777,5.6957,5.5769,5.3558,5.3266,5.6938,5.1563,5.8417,5.2739,5.8963,5.0998,4.8763,5.5472,5.3367,5.4373,5.8215,6.0175,5.7184,5.4053,5.4598,6.0913,5.1031,5.5817,5.5796,6.0856,4.6312,4.8017,4.811,6.0184,6.0672,6.142,6.2192,5.6952,5.8958,5.2679,5.1289,6.1859,5.2377,6.7904,5.4941,5.6645,5.3768,5.2631,5.5577,5.8332,4.9151,4.2951,5.5503,6.1031,4.8007,5.7145,5.7965,5.6233,5.7549,5.9352,5.723,5.4532,6.0255,6.1023,5.784
ACACA,3.869,4.232,4.3082,3.9156,3.1261,3.2841,4.0892,4.2616,4.34346539312,3.2034,3.9232,4.4629584627,3.8621,3.8208,4.248,4.0136,3.6737,4.5342,3.8157,3.5073,4.5717,4.2586,3.945,3.9251,3.4251,4.0645,3.5547,3.9829,2.8562,3.6195,3.6612,4.2743,4.0251,3.8521,3.1588,3.7182,4.3364,4.3313,3.7877,4.0636,4.174,3.7561,3.3264,4.435,4.2639,2.7868,4.7825,4.6645,3.7017,3.7335,3.9175,4.4203,3.6928,3.5337,4.0722,3.755,3.5851,3.4318,3.3703,3.2915,3.6928,4.2412,3.7453,4.1962,5.1132,4.0782,2.7826,3.616,3.4583,4.8565,3.4687,3.6077,4.3576,4.1946,3.9552,4.2442,3.5947,4.4483,2.6441,4.2212,3.2677,3.3521,3.2496,4.0383,3.0287,3.2707,3.2236,3.4609,2.8897,3.2466,3.0602,4.546,3.3235,3.9194,3.9608,4.4945,3.8269,4.1515,3.3869,3.6219,3.7116,3.8857,4.0287,4.5311,4.591,4.1668,4.0162,3.7006,3.4569,3.8925,3.2541,4.1571,3.991,3.652,3.928,4.9937,4.2936,3.0092,4.1244,3.3647,4.6265,4.1384,3.1765,3.9737,3.8837,4.0207,4.7323,4.1587,4.579,4.6866,2.8199,3.6894,4.691,3.8228,4.0688,4.3653,3.1908,3.6428,3.3032,3.3379,3.3278,4.0713,4.2654,3.5299,3.7248,3.6301,3.6849,2.5511,4.0858,3.8481,3.7741,3.8837,4.2541,3.5374,3.3506,3.0323,3.3061,3.8759,3.834,3.9079,3.4609,3.7421,4.2556,3.7248,3.9801,3.6994,3.5911,3.8749,3.2587,4.0567,3.755,3.6816,4.4964,3.6543,3.8136,4.2312,3.5815,4.4575,4.245,3.7116,4.5553,3.8769,4.5249,4.4542,4.3723,3.5547,2.5263,3.8501,3.6759,4.1285,4.2427,3.136,4.1994,4.4745,3.1062,3.6347,3.3759,5.0683,2.7336,4.2495,4.0064,4.0541,4.5838,4.853,3.8501,4.2669,3.4752,4.347,4.857,4.3256
ACACB,2.3077,2.0004,-0.1345,0.8568,2.4883,0.6145,1.3791,1.125,2.27430917771,0.8408,2.236,2.36393076224,0.0014,1.7185,1.5709,0.8805,1.196,1.4808,2.7183,2.3251,1.8323,1.3846,1.5806,2.3677,1.0711,2.909,-1.8836,1.7532,0.3573,2.6918,1.6093,1.8078,1.1382,1.6187,0.4125,1.0847,1.8201,-0.1993,1.4859,2.2663,0.7493,-0.2328,-0.6193,0.5666,0.3346,4.1931,2.4279,-0.2671,0.7832,1.6695,0.7058,1.9415,-0.7346,2.2237,1.0433,-0.1665,0.9862,0.2642,1.0151,1.5216,1.4011,1.9226,1.5216,1.4962,2.2813,0.24,-0.9971,0.8327,1.0503,1.5465,1.9188,1.3791,0.7748,0.0158,1.3735,1.4704,1.683,0.7407,0.8726,1.6875,-0.5543,-1.5951,1.1833,0.8726,2.5413,1.4808,0.6517,0.5955,-0.1187,0.8082,0.1124,1.642,1.5758,1.7185,1.5514,1.2934,3.074,1.46,1.2875,1.6649,2.7826,2.5313,-0.1187,2.2931,1.7532,1.1833,1.6327,2.3423,1.3283,1.7489,-0.8084,1.4756,1.0847,0.8883,2.0569,2.3871,1.7053,2.4857,1.7009,2.1798,1.3846,2.1925,2.0844,1.0151,1.4281,1.9073,2.694,2.2513,1.2992,0.6145,1.8722,0.688,1.0503,1.3901,2.0395,1.4281,0.7493,1.9034,1.4756,1.105,1.674,-1.1488,1.8036,-3.3076,-0.3383,-0.9971,1.3567,0.0854,1.8078,1.0433,2.1345,0.0158,1.0779,1.1117,2.9032,3.0376,0.8883,1.6964,0.7664,-0.6873,2.3366,1.8444,1.7702,1.9712,1.9034,0.8883,3.7269,2.1114,1.4065,-0.8084,0.24,1.6374,2.3843,1.0711,-0.2498,1.4011,2.108,2.2237,0.2998,-2.3147,0.6608,1.4859,1.1117,1.1447,0.9268,-0.1187,1.1512,-0.2671,0.3115,-0.5125,0.7579,2.108,1.4174,1.0711,2.0776,1.2696,2.0004,-1.3921,2.3251,2.4359,1.8643,1.0983,0.9343,1.6093,1.7316,1.9034,1.3511,-0.394,2.1766,1.7954
ACADL,-9.9658,-5.0116,-9.9658,-0.6643,-2.9324,-9.9658,-3.1714,-9.9658,-9.9658,-5.5735,-4.2934,-7.02721645241,-6.5064,-9.9658,-9.9658,-5.5735,-6.5064,-9.9658,-4.6082,-4.2934,-9.9658,-9.9658,-9.9658,-1.1172,-6.5064,-1.9942,-6.5064,-9.9658,-5.5735,-9.9658,-6.5064,-9.9658,-9.9658,-9.9658,-6.5064,-6.5064,-9.9658,-9.9658,-6.5064,-9.9658,-6.5064,-9.9658,-9.9658,-9.9658,-6.5064,-0.3201,-5.5735,-9.9658,-9.9658,-2.6349,-4.6082,-9.9658,-9.9658,-1.3548,-9.9658,-9.9658,-4.035,-9.9658,-9.9658,-6.5064,-5.5735,-9.9658,-5.5735,-9.9658,-6.5064,-4.2934,-9.9658,-6.5064,-6.5064,-5.5735,-9.9658,-5.5735,-6.5064,-9.9658,-9.9658,-3.458,0.0158,-6.5064,-6.5064,-9.9658,-9.9658,-9.9658,-9.9658,-5.0116,-3.816,-9.9658,-9.9658,-1.4699,-5.5735,-5.5735,-9.9658,-3.458,-9.9658,-5.0116,-9.9658,-6.5064,-2.7274,-4.2934,-9.9658,-9.9658,-5.5735,-2.5479,-2.8262,-4.6082,-9.9658,-9.9658,-6.5064,-9.9658,-6.5064,-5.5735,-5.5735,-9.9658,-9.9658,-6.5064,-9.9658,-9.9658,-9.9658,-3.1714,-9.9658,-4.6082,-9.9658,-5.5735,-6.5064,-6.5064,-9.9658,-9.9658,-5.5735,-9.9658,-9.9658,-6.5064,-9.9658,-9.9658,-9.9658,-6.5064,-9.9658,-9.9658,-4.2934,-6.5064,-9.9658,-6.5064,-6.5064,-6.5064,-6.5064,-9.9658,-9.9658,-6.5064,-9.9658,-9.9658,-5.0116,-9.9658,-6.5064,-9.9658,-9.9658,-9.9658,-3.816,-4.2934,-4.2934,-6.5064,-4.6082,-5.0116,-2.3147,-9.9658,-4.035,-4.6082,-3.816,-6.5064,-1.5105,-5.0116,-5.5735,-6.5064,-9.9658,-9.9658,-9.9658,-6.5064,-5.0116,-9.9658,-9.9658,-6.5064,-5.5735,-9.9658,-9.9658,-9.9658,-9.9658,-5.5735,-9.9658,-3.1714,-9.9658,-9.9658,-6.5064,-9.9658,-9.9658,-3.458,-9.9658,-6.5064,-9.9658,-5.5735,-4.6082,-9.9658,-4.6082,-9.9658,-6.5064,-9.9658,-9.9658,-9.9658,-5.0116,-6.5064,-9.9658,-9.9658,-9.9658,-9.9658
ACADM,4.0366,2.6984,4.5826,4.6201,4.1203,4.4595,2.9432,4.5405,3.54897067102,4.4176,4.9996,4.37670770338,5.837,3.9561,5.0036,4.1915,4.3484,4.8724,4.3385,4.0462,4.656,4.2281,3.9223,4.1539,5.2438,3.705,5.0828,5.6364,4.6089,4.7016,4.0575,4.8131,3.9261,4.5705,3.8461,3.5312,4.3499,4.7464,4.8565,5.0357,4.439,4.8817,4.0722,4.1915,4.4074,4.0918,4.4764,4.5448,5.1526,4.5034,4.691,4.284,5.0993,4.6399,2.3019,3.8116,5.1708,4.9621,4.4496,5.4159,3.402,4.4081,4.447,5.0726,3.7378,3.2189,4.3306,5.1056,4.9741,4.1078,4.5261,4.9814,3.927,4.0233,4.6265,5.2664,5.0713,4.637,3.7961,4.848,3.0515,3.8054,4.026,3.5718,5.4276,4.466,4.5766,5.4935,4.686,4.3313,5.3245,5.1227,5.1252,3.6172,5.497,3.7741,5.0104,5.1437,4.6159,4.5491,4.5167,6.3705,5.5373,5.1591,4.613,4.5274,4.6899,4.4673,5.2238,4.863,3.8993,4.852,3.0654,5.138,3.0393,5.3913,3.4674,4.6685,4.1563,3.8054,4.1636,3.9099,4.9388,3.9012,5.4582,4.8689,4.7861,4.613,4.3716,4.3786,4.1111,4.843,3.8451,3.7656,4.3527,3.8581,4.0242,3.2143,4.7528,3.795,5.0679,2.6962,3.8808,1.8957,3.091,3.5436,3.4116,2.3871,3.4674,5.5904,4.6165,3.3577,4.6781,5.2747,4.2877,3.4197,4.5503,4.429,4.4726,4.0136,4.2304,4.1351,4.7698,4.9482,3.794,2.6348,3.9251,4.7027,4.5423,5.6308,4.656,4.1236,4.1359,4.0532,3.1344,4.3786,4.149,4.5723,5.1367,3.8064,3.2267,3.8973,4.0295,3.2282,3.4984,4.0028,4.4983,4.7394,4.3639,5.1388,3.4331,4.6497,2.1378,4.8161,5.3903,6.7079,3.7291,4.0567,3.5174,4.7016,3.1955,4.0782,4.7523,5.0492,4.2862,4.6577,4.1939,3.5498,4.6708,4.6445
ACOX1,4.3597,5.0803,4.9184,3.2466,4.1078,4.7329,3.4143,4.0304,4.51648049878,4.2389,4.0515,4.54293558628,4.6966,4.6583,5.0981,4.4861,4.1604,4.8704,4.8783,3.9223,4.5199,3.8808,4.0884,4.0225,3.4945,3.9147,3.8541,4.2289,4.2041,4.7318,4.366,3.9251,4.026,4.3155,3.2856,3.421,4.0799,3.9108,4.47,4.1285,3.309,4.4816,2.8442,3.7248,4.2616,4.0619,4.0619,4.857,4.3278,4.3827,4.2973,4.6809,3.9552,2.8916,4.3256,3.837,4.0019,4.0471,3.8993,3.8798,3.1523,4.8022,3.8837,4.1178,3.5387,3.8798,4.5699,4.7517,3.9983,5.3241,4.7693,3.928,3.3264,4.3896,4.0207,4.0549,3.7356,4.5904,4.5411,3.5608,3.2112,3.6018,4.3896,4.1547,3.6195,3.9041,3.7688,3.1245,3.2374,4.1931,4.1587,3.9496,4.1203,3.958,4.359,4.1078,3.4791,4.359,4.235,4.3896,3.7226,4.4771,3.5473,4.3162,4.2173,3.868,3.9012,4.466,4.174,4.0858,3.2632,4.9041,4.4169,3.2189,3.1637,4.4621,4.7887,3.9242,4.7872,3.2313,4.796,4.686,5.3111,3.7171,4.9098,4.7383,4.466,4.6451,4.6206,4.1111,3.7667,3.1572,3.8973,3.9337,3.868,3.3703,4.7334,3.3336,4.1875,2.6738,2.8994,2.4492,3.0428,4.533,3.6646,3.0995,4.1261,3.506,4.3611,5.09,4.391,4.1571,3.7794,3.9318,4.854,3.3869,4.5898,4.0153,4.0662,3.9589,3.616,2.9032,4.1466,4.0824,4.4881,3.9938,3.2143,4.2526,3.6589,3.7898,4.6387,4.1261,3.0637,4.497,3.6463,3.9384,3.0481,4.8778,3.3759,4.5657,4.6474,3.5374,4.6793,4.976,4.6242,3.1876,4.9444,3.6463,3.506,3.6474,3.5911,4.5742,3.5249,3.5657,4.1269,3.2737,3.1507,3.8591,3.2841,4.7055,4.1852,4.0055,4.6023,4.9355,4.976,3.9792,3.5299,3.6486,4.4095,4.5982
ACOX2,4.9915,3.5224,3.506,1.0079,3.345,3.9041,1.6649,3.8501,1.34917345879,5.4036,3.3814,1.84706545076,3.9755,3.5766,2.1541,3.9543,3.0234,2.9319,2.59,2.5213,2.3077,1.7828,1.642,3.3689,4.4842,3.3177,2.6278,0.4233,1.0573,4.2227,4.1579,3.9819,2.2723,1.6964,0.8327,2.3592,3.4358,2.0147,1.4011,4.437,2.2901,2.4359,1.8242,3.1327,4.3562,2.6278,4.4726,4.1907,3.7149,3.8198,4.1931,4.2327,2.8799,1.6093,0.679,-0.8339,2.6647,1.8242,0.8408,3.5959,3.6125,3.2526,2.791,2.5804,1.7786,3.616,2.3649,3.3407,4.7274,3.7593,3.8167,1.7912,0.099,3.0163,2.8482,1.683,-1.8314,3.5312,4.3097,3.1245,2.296,2.909,4.5826,3.9099,2.2113,4.3184,2.5036,1.9931,2.4753,2.7117,4.0799,3.8818,3.6793,2.5011,3.87,3.7919,3.5009,2.8502,3.0074,2.9262,2.5313,2.4623,2.5996,0.2881,4.5736,2.5511,5.1231,2.8502,3.4437,2.676,3.2251,2.376,3.2374,1.8604,1.8323,4.3306,1.8036,2.3366,3.3017,2.6418,2.1114,3.6725,3.7898,-0.3201,2.4779,2.9262,4.1368,3.1179,3.162,3.8126,0.9642,1.9377,2.6828,4.582,3.9561,4.2921,3.0217,5.2323,4.3435,3.2034,5.3643,2.0742,4.7491,-1.8836,2.8701,3.5312,5.168,4.2465,4.7762,5.2902,3.3464,3.9552,4.7997,3.4661,4.4667,3.5473,2.5238,3.6486,3.1669,2.5263,2.0218,1.177,2.0325,3.6566,2.9784,3.8259,4.6798,4.4595,3.8491,4.4529,2.909,4.504,2.4544,3.2944,4.7442,1.1833,2.8482,3.1507,3.992,4.2548,5.6854,3.772,1.2516,4.1261,4.8827,4.2973,2.8482,2.824,4.4074,2.3843,3.1971,3.9663,0.9038,2.7007,4.867,3.4048,3.863,1.8722,4.6809,3.3979,3.1507,3.7635,1.4494,2.409,3.7762,4.1772,3.5199,4.0532,4.4496,3.9746
ACOX3,3.8054,3.3689,3.5547,3.0163,2.9356,1.4859,3.0842,3.9194,3.5998309318,2.7227,2.6624,2.96114815941,2.874,3.6555,3.5596,3.6393,3.5899,2.9109,3.5374,2.828,2.8897,2.3423,3.1458,3.449,3.1523,2.2144,3.5424,3.2841,3.2737,3.6861,3.2526,3.5362,2.7161,3.3435,3.7171,3.927,3.5523,3.3134,2.6918,3.1377,2.8897,3.1129,2.5972,3.3689,2.9394,3.2737,3.4894,3.6714,3.6635,2.3366,3.287,3.863,3.2766,3.2374,4.2914,4.2064,3.7518,2.7679,3.0428,3.1409,2.578,3.4304,3.2796,2.9167,2.7095,3.7539,2.9281,3.1442,3.6737,3.1311,3.3911,3.2677,3.1572,3.287,3.0893,2.4571,2.7401,3.4609,3.2587,3.5199,3.2297,3.7291,3.3003,2.7847,2.685,3.6066,3.4007,3.1556,3.3047,3.3952,3.1987,3.2481,2.945,2.945,3.4791,2.6533,3.1393,3.1892,3.2856,2.7487,2.6232,3.4958,3.6497,2.183,3.5174,3.162,3.402,2.8916,3.3647,2.3898,1.9786,3.5633,3.1344,3.7709,2.7051,3.4791,3.6838,3.0757,3.1588,3.2796,3.2647,3.0688,3.0723,3.4583,3.2526,3.6703,3.7635,3.1813,3.3689,3.222,3.0323,3.1556,3.1261,2.9205,3.5374,3.7171,4.1128,3.4224,3.3675,3.0217,3.3828,3.0074,3.7127,3.4817,3.1212,3.8228,3.5035,2.2901,3.2158,3.4881,3.2511,3.1717,3.0859,3.6497,3.716,3.5312,2.9875,2.9262,3.4868,3.506,3.0145,2.7292,2.8779,3.4411,3.4143,2.8838,3.3221,3.7539,2.7615,3.6646,3.7614,2.8522,2.7826,3.208,2.5338,3.3717,3.208,3.162,4.3889,4.5693,4.1368,3.506,3.3842,3.335,4.6112,3.0393,3.9524,2.909,3.8044,3.1653,3.3464,3.6089,2.6464,2.8361,3.6195,3.2617,3.6451,3.3993,3.1908,3.551,2.5972,2.5061,2.6533,3.3506,3.2766,3.2632,2.7805,4.2714,2.7314,3.5935
