gene_name,TCGA-KL-8324-01,TCGA-KL-8325-01,TCGA-KL-8326-01,TCGA-KL-8327-01,TCGA-KL-8328-01,TCGA-KL-8329-01,TCGA-KL-8330-01,TCGA-KL-8331-01,TCGA-KL-8332-01,TCGA-KL-8333-01,TCGA-KL-8334-01,TCGA-KL-8335-01,TCGA-KL-8336-01,TCGA-KL-8337-01,TCGA-KL-8338-01,TCGA-KL-8339-01,TCGA-KL-8340-01,TCGA-KL-8341-01,TCGA-KL-8342-01,TCGA-KL-8343-01,TCGA-KL-8344-01,TCGA-KL-8345-01,TCGA-KL-8346-01,TCGA-KM-8438-01,TCGA-KM-8439-01,TCGA-KM-8440-01,TCGA-KM-8441-01,TCGA-KM-8442-01,TCGA-KM-8443-01,TCGA-KM-8476-01,TCGA-KM-8639-01,TCGA-KN-8418-01,TCGA-KN-8419-01,TCGA-KN-8421-01,TCGA-KN-8423-01,TCGA-KN-8424-01,TCGA-KN-8425-01,TCGA-KN-8426-01,TCGA-KN-8427-01,TCGA-KN-8428-01,TCGA-KN-8429-01,TCGA-KN-8431-01,TCGA-KN-8432-01,TCGA-KN-8433-01,TCGA-KN-8434-01,TCGA-KN-8435-01,TCGA-KN-8436-01,TCGA-KN-8437-01,TCGA-KO-8403-01,TCGA-KO-8404-01,TCGA-KO-8405-01,TCGA-KO-8406-01,TCGA-KO-8407-01,TCGA-KO-8408-01,TCGA-KO-8409-01,TCGA-KO-8410-01,TCGA-KO-8411-01,TCGA-KO-8413-01,TCGA-KO-8414-01,TCGA-KO-8415-01,TCGA-KO-8416-01,TCGA-KO-8417-01
ABL1,3.794,3.4129,3.4102,2.4492,3.928,4.3213,4.7624,4.2281,4.1449,3.8749,3.9617,4.248,4.1078,4.9915,4.5448,3.644,4.5199,3.7345,3.5839,2.7095,4.2056,3.1245,3.8218,4.1244,5.0122,4.6485,4.2884,4.9951,3.6543,2.828,5.3972,4.2541,2.8502,4.3992,3.5815,4.3292,4.0216,3.2841,4.809,3.944,3.603,4.2327,4.1644,3.4765,4.251,4.2181,2.9507,4.5596,3.0944,4.8334,4.0037,3.7571,4.0601,3.6657,3.1228,3.2602,3.208,3.6312,4.5286,3.3464,3.9728,4.1724
ABL2,-0.2845,0.7407,-0.5543,-0.8339,-1.1488,0.0718,-0.1828,-0.4719,0.6332,3.0791,0.3231,-0.3022,0.3115,-0.1665,-0.4325,0.2762,0.2277,0.4016,-0.1504,-0.0277,1.7954,0.4016,-0.6416,0.5568,0.5271,-0.3383,1.0573,1.1117,-0.0425,-1.2828,0.24,-0.0425,1.0915,-0.6416,1.334,1.0642,0.2154,0.346,4.2158,0.4233,0.4657,-0.4921,1.6512,-0.9971,1.1316,0.7493,0.2277,0.4865,0.4447,1.9601,1.2209,0.5763,0.2029,-0.4325,-1.4305,0.8082,-0.394,0.5069,-0.5973,-0.6416,-0.3752,0.2642
ACAA1,4.3024,5.6077,5.2392,5.0833,6.0449,5.5075,5.5195,5.6739,5.752,4.4562,5.3611,5.575,6.1381,5.6565,6.1285,5.6637,5.5164,7.1509,5.7727,5.6424,4.8079,5.3841,5.7626,5.0005,6.2114,5.3608,6.257,5.4797,5.4683,5.5308,6.8818,5.6276,5.1404,4.2951,4.5028,5.5448,5.0696,4.8944,4.2009,5.5398,5.36,5.1807,4.5589,5.0896,5.7285,4.9855,4.951,5.7848,5.6183,5.1942,5.8473,5.5404,5.693,6.3131,4.6531,4.1867,6.0691,5.1469,4.5754,5.4033,5.3968,5.3035
ACACA,3.1572,3.3717,2.6067,2.1476,2.8838,3.0002,3.2174,2.9281,2.4144,2.8522,3.1228,3.0498,3.2096,2.1957,3.1011,2.8321,3.2096,4.8187,2.9394,3.4007,3.0446,3.9468,3.9108,2.3308,2.4805,2.828,2.4597,3.2496,3.7529,1.5165,2.9692,2.4518,3.055,2.7805,3.5009,3.3911,3.4765,3.4464,3.7182,3.773,2.6067,3.2988,2.5112,2.6783,3.5959,3.4156,2.3953,2.6302,3.0446,3.3938,2.233,3.5262,2.9319,2.9525,2.4279,2.4544,3.2127,3.1409,2.9262,3.3119,2.7357,3.002
ACACB,4.4569,5.1023,4.6253,4.2472,4.3278,5.0197,5.599,4.5832,4.2751,4.2165,5.0273,5.1942,4.891,5.2994,4.0696,5.4223,4.8395,5.1182,4.9103,4.795,4.2212,4.5066,4.3031,4.1994,3.3633,5.0892,3.9346,5.1974,4.5361,4.8284,4.5199,5.5463,4.9649,4.854,4.4964,5.3227,4.1748,4.0082,-0.5973,3.9204,6.1851,4.4496,5.1027,3.6242,5.0917,5.3893,4.3848,4.0619,3.4358,0.7233,3.1987,4.6497,4.905,4.3349,3.7324,4.9232,3.9089,3.8269,4.6095,3.7762,4.0558,5.0242
ACADL,4.1153,5.6346,3.1011,2.6715,5.1684,4.1466,4.9308,2.4412,5.3212,4.435,4.1844,5.1035,3.863,2.8858,3.7116,2.5511,2.3898,4.5559,3.9051,4.38,3.4088,4.298,4.0918,3.449,2.362,4.0722,3.4543,4.1433,4.4745,3.8116,1.3901,4.7523,4.3162,-0.0574,6.255,4.0454,4.2227,3.2526,-4.2934,2.036,5.2289,3.8581,6.044,2.5585,3.7614,3.2389,4.3206,3.0428,3.7215,-9.9658,3.4437,5.1148,3.8905,3.5161,4.0471,5.6044,4.5553,4.1531,2.2573,2.6325,4.2412,3.7367
ACADM,2.7029,5.2308,3.4451,1.5514,3.7367,5.2457,4.0278,4.2899,5.2227,4.9412,3.863,4.7044,4.8954,5.391,3.0602,6.0995,4.2518,5.3299,3.7603,5.7621,4.7767,4.7022,2.8076,3.5212,4.9919,4.061,6.5368,4.497,3.1797,2.6783,5.8696,4.6826,6.4019,3.9242,4.7682,5.4138,4.3499,3.8935,4.2929,5.1285,4.5614,4.3477,4.7148,4.5608,4.1474,5.4906,5.6279,6.4311,4.7066,3.0481,3.863,4.402,4.5136,2.8076,1.6512,6.2132,4.9681,3.9261,3.5136,3.3591,4.2943,5.1219
ACOX1,2.496,3.6532,2.8199,2.7594,1.8242,2.9966,2.7594,2.3592,2.7336,4.1145,2.7572,3.8279,3.2737,2.3843,2.328,4.1368,2.6556,4.0824,2.6487,4.2706,3.8541,3.242,2.2237,1.8722,3.1733,2.5338,3.8269,2.4252,2.3106,2.1247,4.3068,2.6138,3.603,2.6302,3.245,2.8838,3.0376,2.5338,2.8402,3.1011,2.6418,1.8722,3.1781,2.4117,3.0056,3.1987,2.3981,3.7539,2.1247,2.7139,2.2573,3.3336,2.3871,2.3926,1.934,3.011,2.9729,3.0181,2.4439,2.8096,2.4279,2.6533
ACOX2,1.3454,1.7995,0.8647,-0.4521,3.9089,3.0428,3.2617,2.4198,3.0181,2.7868,2.0147,3.741,3.7836,4.7464,2.6738,2.8994,2.3677,0.4016,-1.1172,5.1623,2.9413,-0.7588,2.9262,2.3423,4.7924,2.6783,4.2212,3.3647,2.6325,-2.1779,4.2289,3.3842,-0.3022,3.3633,1.884,2.1988,1.6649,1.7009,0.8327,3.7529,2.1013,2.5388,1.8036,1.4228,1.4011,1.7316,3.5535,4.0436,0.9642,-1.3921,2.8838,-2.0529,2.233,4.445,-1.4305,-0.0277,-1.4699,2.5756,1.2085,-2.0529,3.2481,2.5388
ACOX3,3.9185,3.7443,2.1013,2.299,2.5487,3.0446,2.7551,2.4701,3.6125,2.7117,3.0463,1.9895,2.8442,2.7551,3.0654,3.2885,3.0808,3.5754,3.2065,2.6533,2.3926,2.9013,3.3032,3.4061,2.8462,2.376,2.7314,3.055,2.496,2.2482,2.8681,2.7422,3.3278,2.5924,3.7039,2.9581,3.7215,2.6067,2.6918,2.167,2.5011,3.0706,3.2766,2.9544,3.1245,3.7982,2.233,2.7551,2.9243,4.0295,3.3938,3.3952,2.6579,2.9747,3.1458,3.1701,2.6208,3.8147,3.2313,3.7237,2.6918,3.0825
