gene_name,TCGA-A5-A1OH-01,TCGA-A5-A2K3-01,TCGA-A5-A2K4-01,TCGA-A5-A2K5-01,TCGA-A5-A2K7-01,TCGA-A5-A3LO-01,TCGA-A5-A3LP-01,TCGA-AJ-A23N-01,TCGA-AJ-A2QM-01,TCGA-AJ-A3BD-01,TCGA-AJ-A3BF-01,TCGA-AJ-A3BH-01,TCGA-AJ-A3BK-01,TCGA-AJ-A3EK-01,TCGA-AJ-A3NG-01,TCGA-AJ-A3OJ-01,TCGA-AJ-A3OK-01,TCGA-AJ-A3OL-01,TCGA-AJ-A3TW-01,TCGA-AX-A2HH-01,TCGA-AX-A3FS-01,TCGA-AX-A3FT-01,TCGA-AX-A3FV-01,TCGA-AX-A3FW-01,TCGA-AX-A3FX-01,TCGA-AX-A3FZ-01,TCGA-AX-A3G4-01,TCGA-AX-A3G8-01,TCGA-AX-A3G9-01,TCGA-AX-A3GI-01,TCGA-B5-A0JN-01,TCGA-B5-A0K9-01,TCGA-B5-A1MS-01,TCGA-B5-A1MW-01,TCGA-B5-A3FA-01,TCGA-B5-A3FB-01,TCGA-B5-A3FC-01,TCGA-B5-A3FD-01,TCGA-B5-A3FH-01,TCGA-B5-A3S1-01,TCGA-BG-A0MK-01,TCGA-BG-A3EW-01,TCGA-BG-A3PP-01,TCGA-BK-A0CA-01,TCGA-BK-A0CC-01,TCGA-BK-A139-01,TCGA-BK-A13B-01,TCGA-BK-A26L-01,TCGA-BS-A0V4-01,TCGA-BS-A0V7-01,TCGA-D1-A2G0-01,TCGA-D1-A3DA-01,TCGA-D1-A3DG-01,TCGA-D1-A3DH-01,TCGA-D1-A3JQ-01,TCGA-DF-A2KN-01,TCGA-DF-A2KU-01,TCGA-DF-A2KV-01,TCGA-DF-A2KZ-01,TCGA-DF-A2L0-01,TCGA-DI-A1BU-01,TCGA-DI-A2QT-01,TCGA-DI-A2QY-01,TCGA-E6-A2P8-01,TCGA-E6-A2P9-01,TCGA-EO-A1Y7-01,TCGA-EO-A22U-01,TCGA-EO-A22X-01,TCGA-EO-A22Y-01,TCGA-EO-A3AU-01,TCGA-EO-A3AV-01,TCGA-EO-A3AY-01,TCGA-EO-A3AZ-01,TCGA-EO-A3B0-01,TCGA-EO-A3B1-01,TCGA-EO-A3KU-01,TCGA-EO-A3KW-01,TCGA-EO-A3KX-01,TCGA-EO-A3L0-01,TCGA-EY-A1GL-01,TCGA-EY-A1GO-01,TCGA-EY-A1GP-01,TCGA-EY-A1GX-01,TCGA-EY-A210-01,TCGA-EY-A2ON-01,TCGA-EY-A2OO-01,TCGA-EY-A2OP-01,TCGA-EY-A2OQ-01,TCGA-EY-A3L3-01,TCGA-EY-A3QX-01,TCGA-FI-A2EY-01,TCGA-FI-A3PX-01,TCGA-H5-A2HR-01,TCGA-K6-A3WQ-01,TCGA-KP-A3VZ-01,TCGA-KP-A3W0-01,TCGA-KP-A3W1-01,TCGA-KP-A3W3-01,TCGA-KP-A3W4-01
ABL1,4.3198,1.9712,3.7667,3.6042,4.2095,3.863,4.034,4.7143,4.6035,3.2112,4.2088,4.8817,3.8471,4.7329,4.8871,4.2396,3.6324,5.1867,3.47,4.4196,4.048,3.8249,3.5742,3.3828,2.7508,5.2589,4.0523,2.0878,3.8157,4.4719,3.6793,4.2304,4.5186,5.1412,4.5669,4.49,3.7105,3.3535,4.1194,3.6359,4.6617,5.1839,3.8085,4.3951140633,3.73021198389,3.12615339131,3.573,3.92894029802,2.2723,3.5199,3.9251,4.511,4.8565,3.831,4.01,4.6456,3.8401,3.865,4.1103,0.2642,4.0935,3.3619,3.4596,4.6713,4.481,2.7551,4.0366,4.2274,4.5148,4.7154,4.0144,2.6647,1.7489,5.516,4.3917,4.1277,3.5337,4.7093,4.6142,4.1891,4.1764,4.6798,3.7603,3.5742,3.5887,5.5435,4.6588,4.4829,4.3111,4.6871,2.5561,3.4804,2.3423,3.1377,3.6714,4.2095,2.7993,3.5682,4.851
ABL2,1.1447,0.2029,1.787,0.605,0.7321,1.0573,0.8961,1.4228,1.105,0.9568,1.4704,1.4704,0.099,1.0983,1.8564,0.8568,1.0573,1.6558,0.8568,1.8564,1.1833,0.9642,1.0915,0.8327,0.8805,1.2209,1.1382,1.177,0.7579,1.8957,1.683,1.7053,2.1574,1.9377,0.9642,0.6699,1.2992,0.6699,2.1541,1.0433,1.0779,2.1638,1.0573,3.19470413529,4.69413483996,3.35132293246,1.3679,3.55899362967,1.5854,0.9493,1.0007,1.4704,1.0915,0.6969,1.0363,1.0711,0.3231,0.2522,0.6332,-0.1187,0.6145,1.412,1.0847,1.4011,2.7205,0.8327,1.0363,1.2147,2.043,1.683,0.8961,-0.3383,1.2455,1.1833,1.4704,1.5115,0.8726,1.2209,0.7407,1.3283,1.4494,1.7009,1.3679,0.4865,1.46,2.0254,1.6512,1.5806,1.8363,1.3283,0.605,1.8201,-1.1811,0.6239,0.7493,1.1833,1.2934,1.7489,1.6695
ACAA1,5.2091,5.0605,5.6174,6.1185,5.9586,5.9141,5.3086,4.9246,6.1054,6.8934,5.3716,5.7602,5.9939,5.4809,5.5466,6.0108,4.9341,5.3562,5.4148,5.7544,5.1506,5.9418,5.7032,5.2691,5.9414,5.0743,5.5037,5.8475,5.6253,5.2392,4.7581,5.2525,5.4138,5.6183,6.2812,5.8463,6.2149,5.6479,5.7573,5.2616,5.8543,5.532,4.8992,4.2381262416,4.05145972513,4.14493858523,5.6634,4.33816520429,5.0339,5.275,5.9345,5.8716,6.3982,6.0773,5.8001,5.8866,6.2778,6.3356,6.1687,5.3463,5.6622,6.2161,6.6336,5.3184,5.3995,6.0753,5.9835,5.1186,6.0027,5.7184,6.0792,6.2377,5.6834,5.9442,5.9084,4.6271,5.2204,6.1641,6.0719,6.413,4.447,4.6905,6.9101,5.2223,5.4919,5.9301,5.6597,4.2312,5.3252,4.2906,5.446,5.8184,5.353,5.8738,5.0095,5.7121,5.5463,5.6029,5.2608
ACACA,4.1425,2.4008,4.5305,4.0144,3.8126,4.4894,3.9299,3.2662,3.7709,3.7909,3.5815,4.1103,4.2404,5.0773,4.6189,4.197,3.1344,4.1384,4.9915,4.573,4.852,3.5994,3.7992,3.2002,2.9013,3.7561,3.7773,4.1219,4.6628,5.1148,5.1547,4.0824,3.7678,5.3259,4.4196,4.6282,4.0287,3.9719,4.2661,4.2297,4.0436,4.5559,3.7313,5.26738144211,4.69525609882,3.92275072867,4.3548,4.8045490786,3.3321,2.183,4.8197,3.7248,4.1628,3.9654,3.1442,4.4397,4.8968,4.3548,4.0782,3.4197,4.5946,6.9736,3.4358,4.8773,4.447,3.3421,4.2289,4.3017,3.7857,4.5034,3.7149,4.1875,2.5288,5.0964,3.9127,3.9487,2.8137,4.0269,4.1539,4.0926,4.9737,4.1368,4.3951,3.8269,4.0225,3.7237,4.8299,2.9281,5.5308,3.907,5.2072,4.0601,2.5634,3.9571,4.5742,3.4048,3.7061,3.1278,3.325
ACACB,0.679,-1.7322,1.5415,-3.3076,-0.3383,1.0079,0.9862,1.0915,2.2513,1.1117,0.5271,0.8647,-0.7346,0.4657,1.5165,0.3346,1.1447,2.1925,-0.8084,0.3685,0.4016,-0.5543,1.9149,0.0158,1.0573,2.5924,2.233,0.7493,-0.9971,1.4228,0.044,0.4016,1.7995,-0.0425,1.3567,0.6332,0.2642,0.8883,-0.4521,1.196,0.099,0.4967,1.3623,1.80155334552,1.25758488633,1.43084524087,-0.8599,2.08099158428,0.0158,2.2693,0.4657,0.3796,2.0111,0.6517,1.3846,0.3685,-0.0425,-0.8599,0.679,-0.4719,-0.8084,-0.0277,0.4447,1.4911,-0.4131,0.6425,0.1648,-2.4659,0.24,-0.1993,-2.4659,-1.3183,1.6695,1.1184,0.099,0.9642,-0.0877,0.2642,0.044,-0.3383,-0.9971,2.561,-2.3147,1.9073,0.7058,2.4465,-0.1504,-0.3383,1.4011,2.0218,-0.2845,2.4171,0.5069,0.346,1.4547,-0.1345,0.24,0.8246,0.9789
ACADL,-0.4921,-6.5064,-1.3548,-9.9658,-3.6259,-3.1714,-9.9658,0.3907,-0.1993,-0.7346,-5.0116,2.2813,-9.9658,-6.5064,-0.7346,-5.0116,2.3222,2.4727,-6.5064,-0.1665,-4.035,-3.0469,-1.8314,0.9343,2.59,-9.9658,2.4198,-4.035,-5.5735,-0.0425,-0.2159,-1.4305,-3.3076,-6.5064,-2.4659,2.1925,0.8164,-3.816,-2.0529,-0.7834,0.3685,-1.4305,-3.3076,3.19627447088,1.26064830308,2.24821523028,-3.1714,1.41736234743,-9.9658,-1.5105,-5.5735,0.099,0.679,1.0433,-0.8863,-6.5064,-9.9658,0.9038,-3.458,-1.8836,-0.5973,0.099,1.9302,-6.5064,3.1112,2.2391,0.4125,-3.458,-2.8262,-9.9658,-6.5064,-9.9658,-9.9658,-4.035,-5.0116,-3.1714,-1.9379,1.7229,-3.0469,-4.6082,-2.7274,-2.3884,-9.9658,-5.0116,-5.5735,1.5854,-2.3884,-3.1714,-1.685,-1.3548,-1.1172,-6.5064,-9.9658,0.058,-3.6259,-6.5064,-0.3566,-2.7274,-0.6873
ACADM,4.208,3.0944,4.9165,1.7229,3.9041,4.6323,4.5211,4.2381,4.5249,3.5899,3.9365,3.8208,3.4251,2.6805,6.0273,4.1433,3.3264,5.3772,3.2856,4.7253,5.4986,3.8769,4.4732,4.5479,2.6464,5.4582,3.6207,2.2693,4.1962,4.9617,4.9137,4.7603,4.225,4.9184,4.5657,4.4061,4.9103,4.1211,4.3938,5.176,4.9036,5.2769,4.7448,4.91317345589,4.00640028072,4.52954407608,4.4983,4.52330256945,-0.5332,0.6608,2.1957,4.7148,5.0436,4.3009,4.6809,4.3986,3.1971,2.8779,5.0162,0.7493,4.6994,3.8729,3.136,4.443,4.9388,2.328,4.3604,3.97,3.9421,4.2669,3.8259,1.8918,0.1388,5.9198,4.1359,4.5423,4.5167,4.4047,3.9308,3.0637,3.8218,4.1684,4.8095,3.9051,5.3417,4.4006,5.1788,4.5411,5.2806,4.1228,0.537,3.9691,1.8524,3.1475,5.0308,3.9213,3.1588,4.5136,4.1652
ACOX1,3.4596,2.4571,3.7496,4.7851,3.2174,3.421,3.402,3.4635,3.8411,3.1409,4.3133,2.8955,3.7825,3.9682,3.9079,3.5262,3.741,3.6578,2.7721,4.7501,3.0533,3.0002,1.8643,4.0278,4.1852,2.8341,4.8258,4.3097,3.7888,3.6125,3.1765,3.8621,3.1112,4.0454,3.4622,3.4778,3.8561,3.9589,4.1294,3.4251,3.7529,3.66,3.9974,4.73313068095,4.22777478982,5.0365429683,3.8391,4.39235178604,5.5258,4.8924,3.8973,3.7646,4.0627,2.1638,3.4129,3.928,4.5705,3.5971,3.7539,4.591,4.0935,2.3981,4.1128,3.2359,4.2327,3.3379,4.3349,2.5338,3.1987,3.7982,3.3966,3.6972,3.5009,4.1788,3.3911,3.6509,3.8511,4.1335,3.8023,3.863,3.2034,4.232,4.1376,3.773,3.4384,3.8719,3.5461,3.3966,4.1836,2.824,3.4726,3.2251,3.9838,3.5803,3.9089,3.0723,2.7951,3.6359,4.0799
ACOX2,2.5487,-0.1345,1.4547,1.8036,1.8036,4.6018,2.1213,0.8647,-0.8599,2.2543,1.2271,0.5859,2.2872,2.6487,0.7058,5.1696,2.3106,-1.9379,-0.5756,2.9432,1.8564,3.4583,-2.6349,0.7058,-0.1504,0.7321,1.9149,4.0688,3.5608,-0.1504,0.03,5.9596,2.5213,-1.6394,4.8929,0.6699,0.0014,3.0217,-0.0425,0.8164,1.1382,2.1798,0.537,0.757874120731,0.11241176633,0.884425510574,1.3051,0.770636501449,3.8827,3.3897,2.0569,3.1095,-0.3383,1.1897,1.4547,4.7104,5.1716,0.24,1.2516,-0.7346,0.9419,1.0433,4.166,0.4447,-2.0529,0.6969,-1.4699,3.3478,0.7832,4.795,5.3151,0.3573,1.0503,2.9893,-0.9406,3.2127,1.6374,1.0503,3.1507,2.6738,3.0876,1.4547,-0.9406,1.4174,-0.4921,3.0515,0.3796,1.4962,1.0151,3.6894,2.0183,-1.4699,2.5511,3.8441,2.496,0.9568,1.1641,1.1577,2.3843
ACOX3,2.753,3.1924,1.4065,4.5491,3.5959,4.1859,2.9262,3.186,3.5839,3.0446,3.2856,2.1925,3.5959,3.5803,4.4556,3.4371,2.826,4.3527,1.5366,3.325,3.5875,2.561,1.3791,3.1409,4.8595,3.2796,4.3938,3.6277,4.5826,2.167,2.2482,3.8228,2.3308,3.866,3.5287,3.1717,2.2082,4.4938,4.7022,3.091,4.47,3.1409,1.3679,3.65373385426,1.8241718963,3.71932331384,4.47,3.31845362555,5.0523,4.7426,2.8799,3.7149,2.9747,4.38,3.1245,3.5839,5.1534,3.6804,3.5657,5.996,3.832,2.3981,2.9413,3.4648,4.5034,3.728,1.2576,3.034,4.1555,3.7752,4.7976,4.3958,4.4516,4.7762,3.4945,2.4779,2.0844,3.8925,4.3758,3.5111,3.2811,2.7763,6.3704,2.9243,2.9394,2.9032,4.5934,3.6883,1.125,1.9601,2.3019,1.736,3.1955,2.233,0.4447,3.4384,2.1574,3.4648,2.8622
