gene_name,TCGA-OR-A5J2-01,TCGA-OR-A5J3-01,TCGA-OR-A5J6-01,TCGA-OR-A5J7-01,TCGA-OR-A5J8-01,TCGA-OR-A5J9-01,TCGA-OR-A5JA-01,TCGA-OR-A5JP-01,TCGA-OR-A5JR-01,TCGA-OR-A5JS-01,TCGA-OR-A5JT-01,TCGA-OR-A5JV-01,TCGA-OR-A5JW-01,TCGA-OR-A5JY-01,TCGA-OR-A5JZ-01,TCGA-OR-A5K0-01,TCGA-OR-A5K1-01,TCGA-OR-A5K3-01,TCGA-OR-A5K4-01,TCGA-OR-A5K5-01,TCGA-OR-A5K6-01,TCGA-OR-A5K8-01,TCGA-OR-A5KO-01,TCGA-OR-A5KU-01,TCGA-OR-A5KW-01,TCGA-OR-A5KX-01,TCGA-OR-A5KY-01,TCGA-OR-A5KZ-01,TCGA-OR-A5LD-01,TCGA-OR-A5LG-01,TCGA-OR-A5LH-01,TCGA-OR-A5LJ-01,TCGA-OR-A5LK-01,TCGA-OR-A5LL-01,TCGA-OR-A5LM-01,TCGA-OR-A5LN-01,TCGA-OR-A5LO-01,TCGA-OR-A5LP-01,TCGA-OR-A5LS-01,TCGA-OR-A5LT-01,TCGA-OU-A5PI-01,TCGA-PA-A5YG-01,TCGA-PK-A5H8-01,TCGA-PK-A5H9-01,TCGA-PK-A5HA-01
ABL1,4.3009,4.4906,4.0269,4.6606,5.2552,4.597,4.8739,4.3364,4.5072,4.8773,4.0952,3.5779,4.613,3.7783,4.6416,4.9556,3.7138,2.5924,4.7121,4.3541,3.8126,4.0748,5.2138,3.506,3.8013,4.6713,4.8798,4.2884,3.5803,4.0055,4.0756,4.0242,2.9413,4.8812,2.6533,3.3407,4.3177,3.944,4.3979,3.9204,5.0365,3.5947,3.869,4.7203,4.6312
ABL2,1.4859,0.3685,-0.1031,0.547,1.6964,0.7058,0.434,0.8805,0.4233,1.3225,0.1519,0.9191,0.1257,0.5763,0.605,0.3115,0.058,-1.3183,-0.2159,0.2277,0.8408,-0.1993,0.5271,0.2277,-0.1828,1.1382,0.1519,0.6145,-0.1665,0.3573,0.2522,-0.013,-0.3022,1.3283,-0.2498,-0.3383,0.4657,1.2085,1.3167,-0.5332,0.7233,0.3907,0.2029,0.8164,1.0847
ACAA1,5.9621,5.6053,5.9932,5.9084,5.0807,5.426,5.302,5.684,5.735,6.2013,5.2821,5.2235,5.0449,5.1449,5.0113,5.5339,5.7285,5.0286,4.6416,5.1111,6.2722,4.479,4.3972,4.9714,5.2468,5.5847,6.0644,5.9577,5.7137,6.5721,5.5668,6.3482,6.0079,4.9782,5.0972,4.7624,4.6899,5.0747,5.0816,5.0998,4.9117,5.332,5.6656,6.3304,5.5668
ACACA,3.3577,4.0833,2.9911,4.6662,3.2096,3.9213,3.4451,3.4183,3.5009,3.7302,3.1162,2.7594,3.4398,5.0224,3.5349,3.1653,3.0145,1.9786,4.6462,4.0064,3.5718,1.8242,3.3925,2.7615,3.7193,3.4384,3.8886,4.5516,1.8564,3.1829,3.8973,2.945,1.9712,4.5638,2.2482,2.6043,1.7403,2.694,3.3119,2.7183,3.8279,2.2237,3.4291,3.3379,1.4441
ACACB,3.7259,4.0064,2.8936,5.0054,2.5188,3.9728,3.2511,3.4894,3.1813,4.449,3.4371,3.0446,3.9728,2.3366,2.9581,3.8126,2.3592,2.496,3.5718,4.3869,2.4412,2.3337,2.2144,3.3521,3.6509,1.9749,4.222,2.3843,1.4808,2.8502,3.1278,4.0471,1.9895,2.8502,2.2268,1.9675,4.4529,3.9031,4.5964,2.9692,3.7006,3.2944,3.2205,4.6674,1.8484
ACADL,-1.9379,3.011,3.7259,-9.9658,-9.9658,1.2815,2.7336,-2.1779,3.0825,0.346,2.3479,3.5424,5.2044,-6.5064,3.6486,-9.9658,0.4761,3.5149,2.6161,-1.7809,-4.6082,-0.6873,6.0337,2.9802,2.8014,-6.5064,-0.5973,-5.5735,-4.6082,2.3898,3.154,-6.5064,4.5802,0.3573,3.9626,3.0893,2.7742,2.753,4.1498,3.9654,3.6136,4.6668,3.8993,2.6464,-1.2142
ACADM,5.0423,5.0964,5.9451,5.8652,3.5022,5.6854,4.2803,6.4678,5.1827,5.6384,5.5874,5.841,5.5537,5.8069,6.0592,4.4344,4.7038,4.2556,6.4313,4.546,4.5205,3.421,5.6448,4.7496,4.0497,4.215,5.1538,5.3284,2.7161,3.9384,5.756,4.8269,2.4727,5.0993,4.2056,2.8117,4.8213,4.4236,6.2565,4.1498,5.1111,5.8523,4.2803,7.2048,4.1563
ACOX1,3.5706,3.0481,3.7083,3.136,2.8542,3.3379,3.1377,3.8611,2.6067,3.2915,2.7742,3.5035,2.8974,3.3633,2.8137,4.1433,1.884,1.7995,2.8158,3.716,2.5363,2.1147,2.6873,4.0019,2.9032,3.5249,3.3393,3.5374,4.14,3.2722,2.8034,2.7721,2.0076,3.7226,2.3508,3.2915,3.0688,2.9224,2.6647,3.4344,3.2737,2.667,2.7763,4.2503,3.0978
ACOX2,4.2833,4.4569,0.8883,-1.9942,2.7227,4.9407,-0.1031,-0.0425,3.2127,-0.1665,-1.8836,4.0383,-1.7322,4.7751,-3.0469,5.5245,3.2752,-0.2845,3.6335,4.8074,6.7829,-1.0559,-1.685,4.0748,4.5336,2.3926,-1.0262,3.1604,0.3346,2.0289,5.4087,3.154,4.9232,2.0465,3.4622,1.8722,-0.9406,-1.0862,4.3484,2.8974,-1.5522,4.7709,-2.2447,0.6332,-2.0529
ACOX3,3.0498,2.6556,2.7205,2.8542,3.1011,4.9275,3.1556,3.2677,3.9673,2.9747,4.0636,3.5547,3.0961,2.3871,3.0927,4.2358,3.1179,4.0225,4.3855,3.2127,2.5011,3.2511,3.1045,4.026,3.1261,4.3681,2.7336,3.1028,2.6019,4.1812,3.5851,2.6738,2.7868,3.8788,2.8178,2.7615,2.004,2.128,2.7679,3.6827,2.9128,2.7314,3.1129,3.1717,3.0944
ACSBG1,-2.7274,-1.685,-3.6259,-4.6082,-4.6082,-4.035,0.688,-9.9658,-4.6082,-1.5105,-4.6082,-9.9658,-2.0529,-2.5479,-3.458,-3.816,-4.035,-3.6259,-3.458,-6.5064,-1.9379,-3.3076,-1.9942,-1.9942,-1.5105,-3.6259,-3.816,-1.4305,-9.9658,-2.7274,-1.9379,-3.816,-3.6259,-3.1714,-2.0529,-3.6259,-3.6259,-4.035,-4.035,-3.816,0.5666,-3.0469,-2.2447,-3.0469,-4.2934
ACSBG2,-9.9658,-2.9324,-6.5064,-5.5735,-4.6082,-5.0116,-4.6082,-9.9658,-9.9658,-2.8262,-9.9658,-9.9658,-6.5064,-4.6082,-9.9658,-3.0469,-5.0116,-4.035,-4.2934,-9.9658,-9.9658,-2.7274,-3.6259,-2.5479,-4.6082,-9.9658,-3.1714,-9.9658,-9.9658,-4.6082,-4.6082,-2.7274,-2.7274,-3.0469,-3.6259,-9.9658,-2.7274,-5.0116,-4.035,-9.9658,-3.1714,-3.458,-2.3884,-3.3076,-4.6082
