gene_name,TCGA-N5-A4R8-01,TCGA-N5-A4RA-01,TCGA-N5-A4RD-01,TCGA-N5-A4RJ-01,TCGA-N5-A4RM-01,TCGA-N5-A4RN-01,TCGA-N5-A4RO-01,TCGA-N5-A4RS-01,TCGA-N5-A4RT-01,TCGA-N5-A4RV-01,TCGA-N5-A59E-01,TCGA-N5-A59F-01,TCGA-N6-A4V9-01,TCGA-N6-A4VC-01,TCGA-N6-A4VD-01,TCGA-N6-A4VE-01,TCGA-N7-A4Y0-01,TCGA-N7-A4Y5-01,TCGA-N7-A4Y8-01,TCGA-N7-A59B-01,TCGA-N8-A4PI-01,TCGA-N8-A4PL-01,TCGA-N8-A4PM-01,TCGA-N8-A4PN-01,TCGA-N8-A4PO-01,TCGA-N8-A4PP-01,TCGA-N8-A4PQ-01,TCGA-N8-A56S-01,TCGA-N9-A4PZ-01,TCGA-N9-A4Q1-01,TCGA-N9-A4Q3-01,TCGA-N9-A4Q4-01,TCGA-N9-A4Q7-01,TCGA-NA-A4QV-01,TCGA-NA-A4QW-01,TCGA-NA-A4QX-01,TCGA-NA-A4QY-01,TCGA-NA-A4R0-01,TCGA-NA-A4R1-01,TCGA-ND-A4W6-01,TCGA-ND-A4WA-01,TCGA-ND-A4WC-01,TCGA-ND-A4WF-01,TCGA-NF-A4X2-01,TCGA-NF-A5CP-01,TCGA-NG-A4VU-01,TCGA-NG-A4VW-01,TCGA-QN-A5NN-01
ABL1,4.734,4.0109,4.5305,3.4778,4.5602,4.0636,5.9741,5.4416,4.1772,4.079,4.511,4.2427,4.7345,3.906,4.6719,4.3342,3.7846,4.1343,3.7443,2.299,4.2327,5.3162,4.9978,5.1579,4.4364,4.248,5.2582,4.6577,4.4457,4.1482,3.8198,3.8095,3.0446,4.0278,4.2773,4.7725,4.1335,4.4142,4.8069,3.8983,4.7312,4.3999,4.5104,4.5583,4.9218,4.4958,5.1883,4.4344
ABL2,1.8762,1.0433,1.4174,0.9568,0.6699,1.5758,1.7097,1.2756,1.3283,1.0433,1.3956,1.0573,2.4332,1.9188,1.334,1.1512,3.2112,0.688,1.0779,0.9642,1.4388,1.8564,1.0363,2.0742,1.614,1.3225,0.7146,0.9038,2.1247,1.0915,1.3846,1.2756,0.5859,1.4808,1.2875,1.4335,1.7744,1.949,2.0218,1.1897,1.1316,1.105,1.0433,2.2813,1.9188,1.7828,2.2268,2.4306
ACAA1,4.7581,4.8788,4.5892,6.0896,6.1859,4.8851,3.9589,4.582,4.9951,4.9012,5.9331,5.5277,4.3428,4.5436,5.6625,4.9732,5.2472,4.8385,4.3263,5.3941,5.7703,4.9113,5.465,4.7231,4.2676,4.4829,5.2415,5.5802,4.9677,3.833,5.7412,4.0977,5.178,5.4263,4.4509,5.1144,4.9227,5.1615,4.1883,5.0348,5.7597,5.2056,5.5805,5.3583,5.2661,4.5148,5.3495,5.7557
ACACA,3.9947,2.4359,2.8522,4.0541,2.9186,3.2049,4.0506,3.9571,4.4562,2.4279,3.5473,3.0287,3.3464,4.0807,4.0506,3.4583,4.2593,2.9319,3.6266,2.4883,4.5632,4.0884,4.1203,4.1482,3.5124,4.2929,3.3577,5.4871,3.6994,2.4805,4.0348,4.2235,4.026,3.5694,3.7741,4.981,4.4556,3.2034,5.2426,2.8219,5.4871,4.2281,3.4778,4.4686,4.0985,3.2929,3.8621,3.5682
ACACB,1.2209,0.3115,1.8444,0.7748,1.1184,1.9786,1.1897,0.3231,2.1047,0.346,0.3346,1.0915,1.9377,1.2756,2.3394,1.3567,0.2277,0.8961,0.1257,0.4761,0.9419,1.1706,0.7321,1.7954,1.8957,0.6332,1.2516,1.3901,1.5758,0.434,-0.5756,1.196,-0.0877,2.4412,0.9935,0.8327,0.03,2.3704,2.7636,0.5666,2.05,0.2998,1.0293,0.2154,1.6558,2.5011,2.6019,0.8488
ACADL,0.03,0.5271,-1.5951,-1.5951,-2.9324,-4.035,-1.1811,-0.6416,0.2881,-5.5735,-0.1504,-1.685,-0.3383,-1.685,-0.5973,0.7579,-9.9658,-3.816,-3.458,-2.2447,-9.9658,-4.035,-0.1345,-0.2498,-4.2934,-6.5064,0.0854,-0.2498,0.7999,0.4447,-3.816,-0.7588,0.1519,0.5763,2.8402,0.4447,-6.5064,0.7832,-4.6082,-2.8262,-2.3884,-6.5064,-1.2481,-5.5735,1.9712,0.044,-0.013,-3.816
ACADM,4.1318,3.6983,4.2111,3.4635,4.3604,4.1796,4.6815,3.1442,4.864,3.8876,3.2572,3.6335,5.101,4.6329,5.0584,4.2048,4.996,3.9654,2.7422,2.8641,4.7491,4.836,3.3605,4.7209,5.2396,4.6029,4.0348,4.5028,3.9223,3.8259,4.0977,4.2258,4.0144,4.4602,4.5497,4.4906,4.996,4.2914,5.404,3.0074,4.2691,4.5644,4.84,4.4203,2.9562,4.8284,5.1547,2.3816
ACOX1,3.1955,2.3677,3.4437,3.1212,3.6428,2.4597,2.5561,4.3639,3.3842,2.9674,2.4412,2.3592,4.6095,4.2274,4.0304,2.8897,3.3076,2.96,2.0535,3.9571,3.6928,2.7636,3.5766,3.3814,3.4517,3.2143,2.77,3.1162,4.1612,3.0056,2.7679,2.7444,2.5188,3.4143,3.402,2.409,3.2481,3.0842,6.3445,3.3745,4.1828,2.7889,2.727,3.4156,3.3993,3.1426,3.3869,3.3293
ACOX2,2.3843,1.3397,2.0742,3.9515,3.027,-0.4131,1.0983,2.685,2.1114,1.683,3.4583,2.4701,1.5563,4.2419,0.2029,0.9935,-2.2447,-0.0425,2.6161,-0.5756,0.4761,0.8164,0.7407,3.2885,1.3567,3.7507,1.7744,1.816,1.2756,-0.1187,4.0985,1.2756,0.5955,1.8078,1.7185,0.1124,2.4649,2.4701,-0.9686,2.9488,3.9393,0.517,0.8327,0.7832,0.9862,3.208,2.7139,2.4675
ACOX3,5.24,2.8422,3.5262,3.2722,4.3385,3.0358,3.7105,4.3292,4.3356,3.7193,4.0645,3.162,2.9948,2.5804,3.637,2.8422,3.2692,2.561,4.1788,3.0944,4.9012,3.8808,3.5657,2.6418,3.3773,2.7868,4.0251,2.6556,4.3177,3.9719,2.118,4.4304,3.4726,3.0706,1.816,3.9874,3.6861,3.4933,1.934,3.8944,2.3981,2.1213,3.1442,3.1892,4.2009,2.5828,3.2374,3.5262
