gene_name,TCGA-2H-A9GF-01,TCGA-2H-A9GI-01,TCGA-2H-A9GL-01,TCGA-2H-A9GR-01,TCGA-IC-A6RE-01,TCGA-IG-A3I8-01,TCGA-IG-A3QL-01,TCGA-IG-A3Y9-01,TCGA-IG-A3YA-01,TCGA-IG-A3YB-01,TCGA-IG-A3YC-01,TCGA-IG-A4P3-01,TCGA-IG-A4QS-01,TCGA-IG-A50L-01,TCGA-IG-A51D-01,TCGA-IG-A5B8-01,TCGA-IG-A5S3-01,TCGA-IG-A625-01,TCGA-IG-A6QS-01,TCGA-IG-A8O2-01,TCGA-IG-A97H-01,TCGA-IG-A97I-01,TCGA-JY-A6F8-01,TCGA-JY-A6FB-01,TCGA-JY-A6FD-01,TCGA-JY-A6FE-01,TCGA-JY-A6FG-01,TCGA-JY-A93E-01,TCGA-JY-A93F-01,TCGA-L5-A43C-01,TCGA-L5-A43H-01,TCGA-L5-A43I-01,TCGA-L5-A43J-01,TCGA-L5-A4OE-01,TCGA-L5-A4OF-01,TCGA-L5-A4OG-01,TCGA-L5-A4OH-01,TCGA-L5-A4OI-01,TCGA-L5-A4OJ-01,TCGA-L5-A4ON-01,TCGA-L5-A4OP-01,TCGA-L5-A4OQ-01,TCGA-L5-A4OR-01,TCGA-L5-A4OS-01,TCGA-L5-A4OT-01,TCGA-L5-A4OU-01,TCGA-L5-A4OW-01,TCGA-L5-A4OX-01,TCGA-L5-A88W-01,TCGA-L5-A891-01,TCGA-L5-A8NE-01,TCGA-L5-A8NF-01,TCGA-L5-A8NI-01,TCGA-L5-A8NJ-01,TCGA-L5-A8NK-01,TCGA-L5-A8NL-01,TCGA-L5-A8NQ-01,TCGA-L5-A8NS-01,TCGA-L5-A8NT-01,TCGA-L5-A8NV-01,TCGA-L5-A8NW-01,TCGA-L7-A56G-01,TCGA-L7-A6VZ-01,TCGA-LN-A49K-01,TCGA-LN-A49L-01,TCGA-LN-A49M-01,TCGA-LN-A49N-01,TCGA-LN-A49O-01,TCGA-LN-A49P-01,TCGA-LN-A49R-01,TCGA-LN-A49S-01,TCGA-LN-A49W-01,TCGA-LN-A49X-01,TCGA-LN-A49Y-01,TCGA-LN-A4A1-01,TCGA-LN-A4A2-01,TCGA-LN-A4A3-01,TCGA-LN-A4A4-01,TCGA-LN-A4A5-01,TCGA-LN-A4A6-01,TCGA-LN-A4A9-01,TCGA-LN-A4MQ-01,TCGA-LN-A4MR-01,TCGA-LN-A5U5-01,TCGA-LN-A5U6-01,TCGA-LN-A5U7-01,TCGA-LN-A7HW-01,TCGA-LN-A7HX-01,TCGA-LN-A7HY-01,TCGA-LN-A7HZ-01,TCGA-LN-A8HZ-01,TCGA-LN-A8I0-01,TCGA-LN-A8I1-01,TCGA-LN-A9FO-01,TCGA-LN-A9FP-01,TCGA-LN-A9FQ-01,TCGA-LN-A9FR-01,TCGA-M9-A5M8-01,TCGA-Q9-A6FU-01,TCGA-Q9-A6FW-01,TCGA-RE-A7BO-01,TCGA-S8-A6BV-01,TCGA-S8-A6BW-01,TCGA-VR-A8EO-01,TCGA-VR-A8EP-01,TCGA-VR-A8EQ-01,TCGA-VR-AA4D-01,TCGA-VR-AA7B-01,TCGA-X8-AAAR-01,TCGA-XP-A8T6-01,TCGA-Z6-A8JD-01,TCGA-Z6-A8JE-01,TCGA-Z6-A9VB-01,TCGA-Z6-AAPN-01
ABL1,4.958,3.866,5.138,4.7242,4.8773,5.2044,4.5098,3.8105,4.891,4.5142,4.182,4.1523,3.5337,5.1277,4.7856,3.4237,4.4516,4.9045,5.4748,4.4006,4.4536,4.197,4.5466,4.9336,4.6849,5.5607,3.5411,4.4556,4.637,5.2788,4.6742,4.4277,4.7431,3.8481,4.4377,4.4758,4.7049,4.5305,4.2721,4.0909,4.3793,5.0326,4.8274,4.0756,4.741,4.8064,4.6183,4.9842,4.2173,4.0875,4.1458,3.9746,4.3484,4.421,4.2465,5.425,4.4771,4.9896,4.6479,4.3413,4.5736,4.1684,4.3513,4.9603,4.6077,4.5136,5.1547,5.0374,4.6691,4.3155,3.7453,4.918,5.2806,3.2944,4.0331,5.1647,4.2304,4.8734,5.4909,3.9242,4.6933,4.8228,3.7678,5.079,4.7533,4.866,5.07,4.4095,4.8635,4.5681,4.1019,4.6071,3.6289,4.248,6.1498,4.9098,5.2126,4.6195,4.4135,4.1203,4.4958,4.2736,4.9505,5.026,4.2958,4.3793,4.3924,4.2304,3.866,4.5644,4.3328,4.0037,4.7361,4.3421
ABL2,2.6019,1.4652,2.6371,1.7273,1.9527,3.1653,2.0638,3.0825,2.8838,1.8242,2.7205,2.3077,1.4756,3.5362,2.9655,2.651,2.3048,3.1588,2.9167,1.4547,2.6161,3.3192,1.177,2.2452,2.5313,2.9148,1.6281,2.6533,2.5137,2.6232,3.7507,1.9859,2.4857,2.7889,4.0488,2.4144,2.7401,2.1345,1.9931,2.7051,1.5165,2.4908,2.2513,2.876,3.1604,3.1062,1.8323,3.1179,2.3164,1.9149,1.8524,1.8323,2.0979,1.884,2.3536,3.4687,1.766,2.9562,2.8936,2.4198,2.6738,2.3019,1.8484,2.8137,3.0995,2.8055,3.728,3.3264,2.6873,2.043,1.9675,2.791,3.1344,1.2875,2.9655,3.1797,3.2002,2.578,3.1685,1.9712,3.8501,3.2707,4.1978,1.7141,2.694,2.8622,3.208,2.828,1.8918,1.4704,2.7508,2.3953,2.6602,3.0181,3.6509,3.4034,3.2435,1.5316,3.928,1.8879,1.6604,2.9167,3.0808,2.874,3.335,1.692,2.1638,3.8177,1.4441,2.3981,3.2677,2.8301,2.2723,2.7572
ACAA1,5.6696,4.5161,3.97,4.3299,4.2936,3.4129,3.7443,3.4971,3.8561,3.162,4.2758,3.6136,4.6938,3.2267,3.7539,4.6376,4.0331,4.5148,3.4088,5.3016,4.0295,3.8095,5.1473,4.7804,4.1351,4.4842,4.8724,4.5687,5.1563,4.4647,3.705,5.2747,3.4856,5.2631,4.9617,4.6871,4.6154,4.8515,4.0816,5.0423,3.9524,5.213,5.22,6.4116,5.0077,4.4061,5.0054,5.3747,5.4213,6.3324,4.9041,4.1907,4.8156,4.8485,4.7458,4.6224,5.3681,4.0892,5.2231,4.7814,4.9444,4.8028,5.7986,4.0601,3.5187,5.3374,3.5174,3.421,4.2803,3.7593,4.3406,4.5021,3.4622,3.5851,4.6531,3.5547,3.8749,3.2752,3.695,3.4596,3.9792,3.2405,3.6428,4.5589,3.5608,3.2781,4.2586,4.3841,4.2877,4.3889,3.9626,3.871,4.1368,4.2958,3.637,3.8571,3.6393,3.9746,3.9299,5.0233,5.4182,4.1036,3.3966,3.1507,4.5072,5.0005,4.5028,3.6497,4.1094,4.8161,3.7678,4.3695,3.8827,4.6399
ACACA,4.5224,3.5009,3.4635,3.6509,4.4483,4.3958,4.3378,3.5324,4.2973,4.0799,3.7356,4.6708,2.694,5.0117,4.8978,2.7594,3.7804,4.5491,3.8778,4.585,3.5694,3.7982,3.3047,4.551,4.0833,4.4095,4.6317,4.0739,4.5772,3.0533,4.1294,4.497,3.7992,3.7039,4.2788,4.1302,3.6872,4.5199,3.4464,3.7678,4.3999,5.0584,3.7678,4.0619,3.4894,3.7867,3.741,4.3744,4.1563,4.3097,4.0171,3.8621,3.6635,4.1128,4.421,3.7302,4.0807,4.3313,4.048,3.1892,4.3421,4.2119,3.1458,4.5392,5.599,4.6399,4.2921,3.8279,4.1384,3.6725,4.8675,3.5224,4.3979,3.551,4.2158,5.1656,4.7285,4.9644,4.7225,5.14,3.5572,4.7099,3.7226,4.5173,3.0671,4.5988,3.3076,4.8605,4.3356,4.0756,4.7383,4.2906,4.4088,4.6583,4.2818,4.4169,4.0926,4.2556,4.6764,3.9118,3.3047,2.7972,4.7903,5.0977,4.0799,3.3119,4.0541,4.8415,3.29,4.6713,3.1228,4.3924,4.5224,3.8611
ACACB,2.6161,1.0433,1.736,3.222,2.4252,1.8363,0.058,0.1903,2.9966,2.7868,0.6239,1.6875,-0.1345,0.7916,1.3846,-1.1488,2.2206,1.8957,-0.1345,1.949,0.7233,1.334,2.2019,1.9712,-0.3201,0.4967,-3.816,2.8076,-2.6349,1.2394,0.4233,1.8762,1.0573,0.044,3.4344,1.8036,1.0363,1.8323,1.5013,2.6579,2.3926,1.9968,2.7784,2.3048,3.3105,1.9786,2.081,3.5766,-3.0469,0.4016,0.547,3.0995,1.8484,2.1702,0.2154,3.055,0.6699,2.7826,3.2389,2.945,1.5465,0.4761,3.4358,2.7636,3.5124,-0.4521,2.8562,-0.4719,2.3451,0.6699,1.0573,1.9073,1.5165,0.517,0.346,0.3115,0.24,0.5271,3.7378,0.7146,1.2636,2.1734,-0.4521,1.5115,1.4281,0.099,0.9642,-1.3921,1.8918,-0.2845,0.4657,-0.4325,0.7407,2.4649,4.373,0.9642,0.8408,2.4439,0.8726,1.4335,1.0363,0.9268,0.2762,1.0503,0.9419,2.8974,1.0573,0.8408,1.8722,1.736,0.9038,0.1776,-0.3566,0.7233
ACADL,-6.5064,-2.8262,-4.6082,-5.0116,-2.3884,-6.5064,-0.6193,-2.8262,-4.2934,0.1776,-2.7274,-1.5951,-5.0116,-2.1779,-9.9658,-5.0116,-0.3201,-1.1811,-9.9658,-5.5735,-3.6259,-6.5064,-9.9658,-1.1172,-6.5064,-5.5735,-6.5064,-3.458,-9.9658,-2.7274,0.537,-4.2934,-5.5735,-5.5735,-4.2934,-4.035,-4.6082,-9.9658,-5.5735,-0.9971,-2.1779,-5.0116,-2.9324,-3.816,-4.2934,-2.7274,-2.0529,-5.0116,-5.5735,-9.9658,-2.5479,-1.685,0.4761,-1.9379,-2.6349,-4.035,-2.4659,-0.3383,-2.2447,-2.9324,-6.5064,-2.6349,-1.6394,-0.7346,-9.9658,-9.9658,-1.6394,-5.5735,-3.1714,-4.2934,-1.8314,-2.3884,-9.9658,-3.816,-6.5064,-4.6082,-4.035,-4.035,-3.3076,-4.2934,-2.5479,-0.5756,-3.6259,-3.458,-5.0116,-6.5064,-1.6394,-6.5064,-4.6082,-5.5735,-0.7108,-4.2934,-1.2828,-1.3921,-4.035,-0.1345,-5.5735,-1.9379,-2.4659,-2.3884,-9.9658,-4.2934,-9.9658,-5.0116,1.5998,-9.9658,-6.5064,0.2998,-4.2934,-4.035,-3.0469,0.1388,-4.6082,-2.3147
ACADM,4.3155,3.3563,5.7282,3.8837,3.1129,4.1335,3.5212,3.6301,4.0782,4.4894,3.8411,3.8944,3.7061,3.7061,4.4913,2.3423,5.1631,5.2495,3.4344,5.6197,4.6142,3.3814,4.1772,4.5411,3.9599,3.2143,3.074,3.9599,3.3675,3.9031,3.5791,5.5475,3.7421,3.3535,5.051,4.0082,4.0532,4.1571,4.4634,3.9223,3.6793,4.4938,4.5211,4.1228,4.2088,3.4856,2.8877,4.2396,3.2251,4.2495,3.222,4.5305,4.7383,3.186,5.0277,5.0807,3.3506,4.7725,4.0497,4.2601,3.7762,4.1376,3.8431,3.9079,6.0642,4.0436,4.2929,4.0153,4.3709,4.073,4.5626,4.2699,4.2373,4.3242,3.9337,3.9022,4.2899,2.9618,3.8866,3.8187,3.3759,4.6159,4.0348,5.8617,4.439,3.5971,3.7614,3.8581,3.9118,2.9052,2.9655,2.6828,3.3993,4.3364,4.5255,3.3393,3.9783,3.6555,4.162,4.3292,3.2405,4.4945,2.9655,3.906,4.3681,3.7635,3.8085,4.0055,3.9737,4.0109,4.01,4.2571,3.4958,3.8033
ACOX1,4.6136,3.4451,4.0541,4.1539,3.5199,3.7378,2.9674,3.0127,4.0216,3.5584,2.9655,4.843,3.7324,3.0287,3.7783,3.9002,3.7888,3.8808,2.5852,3.0842,3.0619,4.8141,5.8827,4.562,4.2134,2.5707,2.6783,4.5479,3.1212,3.2205,4.2691,6.7126,2.9581,4.8689,5.0268,4.6497,4.3328,4.5142,4.6725,5.6183,5.3875,4.0816,5.2899,4.7682,5.2122,4.0926,3.2034,4.0969,3.3535,3.4371,4.3306,4.8495,3.928,4.3017,4.9275,4.8334,4.4357,5.0879,4.7307,4.215,4.7399,4.9741,5.2091,3.3717,4.3688,2.77,4.1716,3.3521,3.8239,3.2034,4.3625,3.3591,3.4237,4.4135,3.4661,3.7116,3.9166,4.5117,4.0884,3.5803,3.3911,3.9673,2.8681,3.2112,3.9543,3.6939,3.2557,3.3134,3.0163,1.9859,3.7699,2.7444,2.982,3.7961,3.9847,3.7237,3.9487,4.0575,3.055,5.5142,3.9346,4.66,3.868,3.055,4.4569,4.3569,3.0859,4.1772,2.7292,4.0287,3.3938,3.5486,4.1644,3.1261
ACOX2,1.3679,1.4911,0.3685,0.058,1.8444,-1.1172,-0.9971,0.537,1.125,0.7146,1.3225,0.3115,2.296,-0.5756,0.3573,-1.8314,1.4011,-0.1993,0.0158,0.4761,-1.4305,-0.6643,-0.9132,-1.7809,-0.4325,0.3231,-0.1993,0.9642,0.9935,0.6969,-1.1488,-0.6416,1.8996,-1.4699,1.7828,-2.5479,-0.0574,2.2482,-1.6394,1.105,-0.5543,2.4117,1.7185,3.3591,0.058,1.2394,0.8082,2.1313,1.9377,1.5013,0.2762,1.4911,1.125,1.3109,1.2875,1.9452,2.4597,0.3907,0.6699,0.7233,0.03,-0.0725,-0.4921,0.9789,-0.2845,0.0854,1.0007,-1.1172,0.6239,-0.8084,0.2642,1.1316,0.6425,3.6905,-0.4719,-0.4719,0.3115,-0.1993,2.118,1.6234,-0.0277,0.4447,1.1897,-0.0277,-1.0559,-2.0529,0.0158,-0.4131,1.334,0.3115,-1.0862,-1.2142,-1.8314,1.6327,2.6873,0.099,-0.6193,-0.3022,-1.2481,-0.6193,0.4657,2.1574,0.434,0.1648,-1.3548,-2.7274,0.2762,0.5069,0.03,0.5666,0.679,-0.394,-1.5105,2.7679
ACOX3,1.177,2.3193,2.108,3.1475,2.9893,2.6556,1.9931,2.3843,2.4198,4.0926,2.7161,2.7972,1.9264,1.5514,3.0757,3.5911,4.5952,2.6348,1.9377,3.4358,2.6371,2.1476,4.6288,2.5828,2.9747,4.3632,2.8321,2.1894,3.1733,2.6185,2.081,3.3492,2.791,2.5511,2.4701,2.9655,3.5669,3.5596,2.9893,3.3264,3.5086,2.5852,2.2663,2.7784,2.1411,3.0654,2.4831,2.1213,3.3148,1.6466,2.9674,3.002,2.4934,2.2931,3.7389,2.3564,4.3793,2.7336,1.934,2.609,3.2617,3.8075,3.6497,2.036,3.741,2.5112,2.3649,2.4701,3.0428,1.3167,3.7815,4.6071,2.3564,1.2934,2.4332,1.0915,2.9243,3.0463,3.2158,1.3567,3.1393,3.6266,2.2723,2.4883,1.5165,1.7954,2.183,2.3564,3.2781,1.7786,2.5087,1.8918,2.4701,2.4386,3.0498,2.2019,2.2237,2.5876,2.2753,3.6939,2.5683,3.9561,1.412,3.5461,3.1327,2.7679,1.9931,1.8242,2.5658,3.1458,2.1444,2.3394,2.3816,3.325
