gene_name,TCGA-BL-A13I-01,TCGA-BL-A13J-01,TCGA-BL-A3JM-01,TCGA-BT-A0S7-01,TCGA-BT-A0YX-01,TCGA-BT-A20J-01,TCGA-BT-A20N-01,TCGA-BT-A20O-01,TCGA-BT-A20P-01,TCGA-BT-A20Q-01,TCGA-BT-A20R-01,TCGA-BT-A20T-01,TCGA-BT-A20U-01,TCGA-BT-A20W-01,TCGA-BT-A2LB-01,TCGA-BT-A2LD-01,TCGA-BT-A3PH-01,TCGA-BT-A3PJ-01,TCGA-BT-A3PK-01,TCGA-BT-A42C-01,TCGA-C4-A0F0-01,TCGA-C4-A0F1-01,TCGA-C4-A0F6-01,TCGA-C4-A0F7-01,TCGA-CF-A1HR-01,TCGA-CF-A1HS-01,TCGA-CF-A27C-01,TCGA-CF-A3MF-01,TCGA-CF-A3MG-01,TCGA-CF-A3MH-01,TCGA-CF-A3MI-01,TCGA-CU-A0YN-01,TCGA-CU-A3KJ-01,TCGA-CU-A3QU-01,TCGA-CU-A3YL-01,TCGA-DK-A1A3-01,TCGA-DK-A1A5-01,TCGA-DK-A1AA-01,TCGA-DK-A1AB-01,TCGA-DK-A1AC-01,TCGA-DK-A1AD-01,TCGA-DK-A1AE-01,TCGA-DK-A1AF-01,TCGA-DK-A1AG-01,TCGA-DK-A2HX-01,TCGA-DK-A2I1-01,TCGA-DK-A2I2-01,TCGA-DK-A2I4-01,TCGA-DK-A3IK-01,TCGA-DK-A3IL-01,TCGA-DK-A3IM-01,TCGA-DK-A3IN-01,TCGA-DK-A3IT-01,TCGA-DK-A3IU-01,TCGA-DK-A3IV-01,TCGA-DK-A3WW-01,TCGA-DK-A3WX-01,TCGA-DK-A3WY-01,TCGA-DK-A3X1-01,TCGA-DK-A3X2-01,TCGA-E5-A2PC-01,TCGA-E7-A3X6-01,TCGA-E7-A3Y1-01,TCGA-FD-A3B3-01,TCGA-FD-A3B5-01,TCGA-FD-A3B6-01,TCGA-FD-A3B7-01,TCGA-FD-A3B8-01,TCGA-FD-A3N5-01,TCGA-FD-A3NA-01,TCGA-FD-A3SJ-01,TCGA-FD-A3SL-01,TCGA-FD-A3SM-01,TCGA-FD-A3SN-01,TCGA-FD-A3SO-01,TCGA-FD-A3SP-01,TCGA-FD-A3SQ-01,TCGA-FD-A3SR-01,TCGA-FD-A3SS-01,TCGA-FJ-A3Z7-01,TCGA-FJ-A3ZE-01,TCGA-FJ-A3ZF-01,TCGA-G2-A2EC-01,TCGA-G2-A2EF-01,TCGA-G2-A2EJ-01,TCGA-G2-A2EK-01,TCGA-G2-A2EO-01,TCGA-G2-A2ES-01,TCGA-G2-A3IB-01,TCGA-G2-A3IE-01,TCGA-G2-A3VY-01,TCGA-GC-A3BM-01,TCGA-GC-A3I6-01,TCGA-GC-A3WC-01,TCGA-GC-A3YS-01,TCGA-GD-A2C5-01,TCGA-GD-A3OP-01,TCGA-GD-A3OQ-01,TCGA-GD-A3OS-01,TCGA-GU-A42R-01,TCGA-GV-A3JV-01,TCGA-GV-A3JW-01,TCGA-GV-A3JZ-01,TCGA-GV-A3QF-01,TCGA-GV-A3QG-01,TCGA-GV-A3QH-01,TCGA-GV-A3QI-01,TCGA-GV-A3QK-01,TCGA-GV-A40E-01,TCGA-GV-A40G-01,TCGA-H4-A2HO-01,TCGA-H4-A2HQ-01,TCGA-HQ-A2OE-01,TCGA-K4-A3WS-01,TCGA-K4-A3WU-01,TCGA-K4-A3WV-01
ABL1,4.93408097111,3.69536640089,4.1061,3.7825,3.7909,4.1844,3.9041,4.322,3.0995,3.7072,4.1644,3.1637,4.4906,4.1261,3.6916,3.4543,3.483,3.7992,4.2646,2.9984,3.3221,3.6961,3.6266,3.3605,3.6827,4.3986,2.4439,1.6785,3.1011,2.4831,2.9966,4.178,3.6589,4.1812,3.5411,3.4933,3.7006,2.945,4.3709,3.9838,3.6939,4.1069,4.9007,3.2602,4.5085,3.6347,3.3192,4.0109,3.4804,3.9956,4.4764,4.4516,3.7324,4.2235,4.3155,3.287,4.1111,4.1652,3.1245,3.837,3.5022,3.0127,3.4622,4.5766,3.8973,3.8491,3.9365,5.0571,4.0918,3.8147,5.2657,4.3399,3.4358,3.6725,4.4836,4.573,4.3674,4.2126,3.5498,3.1749,2.9205,4.061,3.4622,4.6462,4.0109,2.9802,2.7847,3.2572,3.4277,3.4778,4.5982,3.3787,4.041,4.5916,4.245,3.3134,4.1764,4.1417,3.9728,4.1078,3.4197,4.6798,4.2631,3.7324,4.1011,4.6983,4.5503,3.1844,3.2647,3.2959,3.2481,4.38,3.6961,4.7148,4.1732,4.215
ABL2,3.63006163618,3.49323758409,2.1213,2.036,0.7321,1.5661,2.4359,2.6348,0.5859,1.1316,2.3222,1.196,1.125,1.4281,1.4962,1.5013,1.0007,0.7321,2.7508,0.7058,2.676,2.2237,1.1512,1.614,0.1903,2.6783,0.8961,-0.9132,-0.4131,0.099,0.9568,2.1957,2.3337,1.0642,1.0847,0.7748,0.9642,1.0079,1.5709,1.4174,0.9789,1.2875,2.6278,0.5568,1.0642,0.8327,2.2113,3.4237,1.4756,0.6608,2.5561,2.0183,1.4547,0.8246,1.2992,1.4228,1.7141,0.8883,0.2762,1.7744,1.4494,1.0433,0.9642,2.7551,1.4652,1.5854,3.4129,2.8897,1.46,0.7493,1.3051,2.2051,1.4547,1.6045,2.6984,2.4252,1.5216,2.5313,1.5064,2.3479,0.9716,1.6875,0.6517,2.5585,3.5387,0.9862,0.7321,1.6187,1.9638,-0.2498,1.2271,1.5064,1.0711,2.3536,1.884,0.7999,1.4441,1.1512,2.9128,1.2271,1.7744,0.8568,1.2023,1.177,1.7229,1.1577,1.884,0.7748,1.0847,0.9268,0.688,1.614,2.0742,2.0289,1.3051,1.2271
ACAA1,4.97440652075,5.27256974668,5.0601,5.3176,5.1445,5.3049,5.5901,5.2754,6.0555,5.9411,5.8733,4.9801,5.5859,6.7118,6.1563,6.2644,6.6904,4.8773,5.7222,6.31,4.4732,4.9093,6.5255,6.1297,6.5021,4.2929,6.9221,6.477,7.7503,6.9691,6.4053,5.5404,4.3625,6.4975,6.6764,6.2649,5.8927,6.7127,4.5796,6.5604,6.2342,5.0597,5.9926,6.4103,5.8387,6.2904,4.8495,4.9828,6.4212,6.1131,4.5699,6.4291,5.9848,5.7041,6.1215,5.2095,5.8339,5.6514,5.6306,4.9924,6.3466,6.3785,6.5381,4.9691,5.4565,6.7768,4.9175,5.2483,3.9682,5.6676,7.4468,6.0999,6.6073,6.308,6.0264,5.1563,5.698,6.2171,6.278,5.8189,6.7648,7.0164,6.0273,4.3744,4.0884,5.7999,7.0229,4.4397,4.95,7.8192,6.4769,6.3941,4.9887,4.4529,4.7214,5.6932,6.8714,6.4147,5.1676,6.1301,7.155,6.1997,5.5066,7.3278,6.5116,6.6318,5.5512,7.0199,4.964,6.9458,9.0403,5.6112,5.5775,5.2604,6.1926,4.5305
ACACA,4.56178635293,4.49360883356,5.3999,4.8485,4.208,3.8886,4.764,3.6972,4.0506,4.4887,3.3897,3.6207,5.2103,4.1939,4.166,4.0383,4.7955,3.9496,4.0153,4.866,3.8876,4.1376,4.2906,4.591,4.6323,3.5249,4.0295,2.118,4.7066,4.0584,2.7679,4.1027,4.1036,4.6888,4.9065,3.6463,4.0619,4.1449,3.4868,3.9552,5.014,4.5085,3.7709,4.3031,3.4583,4.597,5.1631,4.041,4.1555,4.5559,4.4344,3.9041,4.6065,3.2405,4.2736,3.3773,4.5318,3.5274,4.2526,5.5008,5.2754,5.178,2.6556,3.6136,4.9837,3.8729,4.0824,3.7193,4.2389,4.4142,5.1035,3.4765,4.6288,3.6451,4.3155,3.8228,4.2795,4.3862,3.9534,3.0893,6.5554,4.3889,3.927,3.8208,4.0875,4.0471,3.4156,4.796,4.7882,3.9883,5.0361,4.3082,4.2312,4.3548,3.8451,4.0918,4.0171,4.528,4.178,4.1392,4.3765,4.5705,5.3082,5.2312,3.3435,4.9538,4.7908,4.8866,4.2714,4.9598,3.9194,4.9978,5.8503,3.907,4.3611,5.1441
ACACB,1.38278591425,1.22507425264,1.5266,1.2023,-1.0559,1.334,-2.114,1.5115,1.5998,0.9493,1.9226,0.1388,0.4447,0.605,0.7407,-0.8084,-1.9379,-2.4659,0.03,0.8805,-0.8084,-1.9379,0.6145,0.9568,1.3051,-0.1504,0.7748,1.7141,-0.6873,0.0158,-0.2671,-0.2498,-0.4719,-0.394,1.0573,-0.0425,-0.4921,0.6608,1.2455,-0.4921,-0.8084,0.3685,1.2756,0.9038,1.3623,-0.9406,0.3231,0.5666,-0.8599,-0.0725,0.8408,-0.2328,1.4756,0.8805,1.5115,-1.4699,-0.1665,1.9638,-0.7588,2.4171,-0.4719,-0.394,0.8164,-0.2328,0.1903,0.3573,-0.7346,1.4174,1.1117,-0.1187,1.0779,1.3735,-0.4131,-0.8863,-0.0725,1.0573,1.4704,1.7532,0.3796,-0.2671,0.24,0.1648,1.3454,-0.0277,-2.8262,1.3397,-0.1665,-1.7809,-2.114,0.3907,1.2636,0.1124,1.9601,1.4011,-1.6394,1.0293,1.8282,-1.3183,0.7664,0.4447,-0.5756,0.4967,-0.4521,0.058,1.6964,1.177,1.4228,0.7407,-0.2159,-0.5756,-0.4521,0.6517,1.2085,1.6374,1.7702,1.8323
ACADL,-5.82281147965,-1.8143572346,-2.5479,-0.2498,-2.9324,-4.2934,-1.2142,-0.5543,0.6145,-3.458,-0.1504,-2.4659,-0.9971,-4.035,-0.394,-9.9658,-6.5064,-2.3884,-9.9658,3.1669,-9.9658,-0.3566,1.6604,0.3346,-1.5951,-4.035,-1.8836,-9.9658,-1.9942,-2.9324,-6.5064,-6.5064,-0.013,-4.6082,-0.5125,1.4494,-2.9324,-2.3884,-5.5735,-2.8262,-5.5735,-1.685,-5.0116,-2.8262,-2.7274,-9.9658,-4.2934,-0.5543,-3.6259,-1.4699,-4.2934,-3.458,-6.5064,-5.5735,0.1519,-4.2934,-1.3183,-3.0469,0.2762,-3.6259,0.4016,-3.816,-3.3076,-4.2934,-1.3548,-2.114,-6.5064,-3.1714,-2.8262,-5.0116,-0.4719,-5.0116,0.0718,-9.9658,-9.9658,-5.5735,-0.7108,1.5661,1.9111,0.8647,1.2815,0.9343,-5.5735,-3.458,-9.9658,-1.6394,1.4756,-9.9658,-5.5735,-4.2934,2.3649,-2.3147,-3.0469,-4.2934,-2.2447,-2.6349,-1.4699,-3.3076,0.0854,0.0854,-5.5735,-0.3022,-3.1714,-9.9658,-3.1714,-2.114,2.6138,-9.9658,-1.1172,1.7532,-3.458,-0.9406,0.4125,2.1378,1.5316,0.03
ACADM,4.31017398809,3.56163400069,4.7512,4.6387,4.686,7.3681,4.3442,5.1843,3.162,4.7698,5.1449,3.2034,4.8329,4.554,4.2676,2.8137,3.2002,4.3292,3.3421,3.9289,4.3111,4.4881,4.4088,5.1623,4.1482,3.3235,3.9524,1.2394,4.6142,3.0234,1.5563,4.7533,4.7767,6.2593,3.1971,3.1212,4.5717,4.6218,4.8565,6.1163,4.9127,4.073,4.2987,3.6983,3.9691,4.0445,4.0109,4.2189,3.4945,3.4843,4.6159,5.0981,4.1119,4.2173,5.0197,4.9355,3.8876,5.0014,3.6961,6.1347,4.7666,4.4243,2.0912,4.1772,4.0375,4.0506,4.4156,4.0198,3.5803,4.0091,5.4591,4.9069,4.8074,3.7204,4.3723,5.0683,4.441,4.6236,3.9108,2.7742,4.2884,3.6782,4.5411,4.4324,3.2236,6.0728,4.3421,4.3449,3.9654,4.5318,4.1327,4.6651,4.2427,5.3111,5.022,4.6916,5.7709,4.4945,4.7887,3.4661,5.0237,5.5239,4.284,6.9921,4.3765,4.5021,5.6017,5.0237,3.1426,4.9621,4.8798,5.5522,3.5863,3.8778,4.0313,4.2434
ACOX1,4.38982831935,6.03298934332,4.3442,3.5827,3.0199,3.5073,6.0596,3.9589,4.5952,5.6829,4.4958,4.8851,3.4543,5.6619,5.2799,5.6966,6.051,2.8219,4.6439,4.958,2.4908,3.2752,4.7082,4.597,5.468,3.637,5.4512,5.6142,5.0014,4.773,4.1409,4.4162,3.483,7.1422,5.5946,4.7635,4.2601,4.3428,3.0995,7.6665,5.1445,3.8964,5.6191,4.0696,5.3438,6.3635,3.3675,4.2064,5.7209,5.1792,3.1112,5.0197,6.0257,4.2833,5.3438,2.1798,3.4183,3.3731,4.7528,4.0242,3.7867,3.7127,3.928,2.77,4.4608,2.9281,3.3745,3.8136,3.5035,5.7129,4.3751,5.4948,4.7082,5.6419,4.3017,3.4856,5.018,5.9064,4.8665,7.2889,4.7296,7.3015,5.5931,2.7444,3.7182,4.3053,4.3772,3.3364,4.048,5.2851,5.7751,4.4283,3.6555,3.1011,2.9109,5.3858,6.408,4.6815,2.8096,5.3345,5.2407,5.8248,5.5509,5.533,5.5601,6.9173,4.9538,5.5868,4.0943,5.3692,7.0215,4.9108,4.6271,4.6018,5.837,4.7394
ACOX2,1.98096685845,-0.0130442577741,-0.6643,-1.4305,0.7832,0.0718,-1.5105,-0.0425,-2.4659,0.1648,0.7999,0.605,0.2881,-0.8599,0.3573,0.2029,-0.9406,0.044,1.1382,1.6327,0.7999,0.6332,0.5069,-1.2142,0.6425,-0.9406,1.7954,1.5709,0.6517,-0.3022,-2.3884,-0.0877,-3.458,-2.2447,-1.1811,-0.6193,0.099,-2.114,-0.1345,-0.9971,-0.0574,-0.7834,1.0503,-2.6349,1.6785,0.4967,1.0573,-0.3566,0.0158,0.5271,-1.1811,-0.0277,0.6608,1.0363,-2.1779,-1.5522,4.1186,1.9712,-1.2142,-1.5951,1.2271,-0.8863,-0.3201,0.2029,-0.4521,2.7636,3.1278,1.8918,0.605,-0.9971,0.7146,1.46,-0.2159,-0.5543,-0.0877,1.2992,1.2576,0.6608,-0.6193,-0.4521,0.058,-1.685,1.0363,-1.1811,-0.2845,0.346,1.1512,0.0718,-1.9942,-1.1811,-1.5105,-1.2828,0.03,0.5955,0.5271,-0.1031,0.6145,-1.2481,1.8363,-2.3147,-1.3548,-1.5522,-0.3566,-2.3147,0.7999,-2.3884,0.5763,-0.9686,-0.2159,-2.8262,1.3454,-3.0469,-2.5479,1.5064,2.9186,1.8363
ACOX3,4.30795048733,3.68308004548,3.1701,3.3003,2.8381,2.9319,4.3931,3.8896,3.7443,4.6736,3.0944,5.4125,3.6393,4.0082,4.6554,3.7215,5.0211,2.5707,3.1939,4.1351,4.7421,3.8401,4.1036,2.5338,4.5934,3.0619,4.5072,2.9507,4.8197,4.7176,3.5387,3.0056,3.9156,5.7911,5.3537,4.7361,5.1081,3.869,3.3633,6.3196,4.1011,2.9032,4.1036,4.9538,3.835,4.5687,4.1425,3.2189,4.847,6.1629,3.7378,4.0287,4.6899,4.0488,4.7945,3.9774,4.49,3.1011,3.2587,2.6647,4.4732,3.2885,3.8044,2.5263,3.3134,2.9013,2.7508,3.7094,3.5669,4.3385,5.1227,4.9079,4.7426,4.1595,3.3206,3.0893,3.869,4.926,4.421,5.2001,3.5947,5.4874,4.2266,3.0074,3.8915,4.4437,4.7093,3.3206,3.958,3.6972,5.9542,3.9022,3.5608,3.4331,3.6725,4.2442,4.8238,4.041,4.1962,4.1498,3.492,5.1712,4.215,4.6854,4.1859,4.6826,3.1212,3.3264,3.7138,5.3893,4.7198,3.6725,3.7571,5.4667,5.9369,3.1781
