gene_name,TCGA-18-4721-01,TCGA-18-5592-01,TCGA-21-1071-01,TCGA-21-1076-01,TCGA-21-1081-01,TCGA-21-5782-01,TCGA-21-5784-01,TCGA-21-5786-01,TCGA-21-5787-01,TCGA-22-1011-01,TCGA-22-4591-01,TCGA-22-4607-01,TCGA-22-5471-01,TCGA-22-5472-01,TCGA-22-5473-01,TCGA-22-5474-01,TCGA-22-5477-01,TCGA-22-5478-01,TCGA-22-5480-01,TCGA-22-5482-01,TCGA-22-5485-01,TCGA-22-5489-01,TCGA-22-5491-01,TCGA-22-5492-01,TCGA-33-4532-01,TCGA-33-4547-01,TCGA-33-4566-01,TCGA-33-4582-01,TCGA-33-4586-01,TCGA-34-2596-01,TCGA-34-2608-01,TCGA-34-5231-01,TCGA-34-5232-01,TCGA-34-5234-01,TCGA-34-5236-01,TCGA-34-5239-01,TCGA-34-5241-01,TCGA-34-5927-01,TCGA-34-5928-01,TCGA-34-5929-01,TCGA-37-4133-01,TCGA-37-4135-01,TCGA-37-4141-01,TCGA-37-5819-01,TCGA-39-5019-01,TCGA-39-5021-01,TCGA-39-5022-01,TCGA-39-5024-01,TCGA-39-5028-01,TCGA-39-5029-01,TCGA-39-5030-01,TCGA-39-5031-01,TCGA-39-5035-01,TCGA-39-5037-01,TCGA-43-2578-01,TCGA-43-3394-01,TCGA-43-5668-01,TCGA-43-6143-01,TCGA-43-6770-01,TCGA-43-6771-01,TCGA-46-6025-01,TCGA-46-6026-01,TCGA-56-5897-01,TCGA-56-5898-01,TCGA-56-6545-01,TCGA-56-6546-01,TCGA-60-2698-01,TCGA-60-2708-01,TCGA-60-2709-01,TCGA-60-2710-01,TCGA-60-2711-01,TCGA-60-2713-01,TCGA-60-2719-01,TCGA-60-2720-01,TCGA-60-2721-01,TCGA-60-2724-01,TCGA-60-2725-01,TCGA-60-2726-01,TCGA-63-5128-01,TCGA-63-5131-01,TCGA-63-6202-01,TCGA-66-2727-01,TCGA-66-2758-01,TCGA-66-2766-01,TCGA-66-2767-01,TCGA-66-2770-01,TCGA-66-2773-01,TCGA-66-2777-01,TCGA-66-2778-01,TCGA-66-2781-01,TCGA-66-2782-01,TCGA-66-2783-01,TCGA-66-2785-01,TCGA-66-2788-01,TCGA-66-2791-01,TCGA-66-2794-01,TCGA-66-2795-01,TCGA-66-2800-01,TCGA-70-6722-01,TCGA-70-6723-01,TCGA-85-6175-01,TCGA-85-6560-01,TCGA-85-6561-01
ABL1,3.9819,4.8069,3.7971,3.74590285962,4.2381,3.9856,3.3549,3.8541,3.644,3.695,3.1426,2.6232,3.4116,4.0867,4.0322,3.8973,4.4569,3.7888,4.0109,3.7421,4.4932,4.0558,3.402,4.8525,3.3773,3.2158,4.1458,3.0463,4.2095,4.8059,3.9175,3.958,3.6872,2.6895,4.2743,4.6201,3.1145,3.8973,4.7793,4.5796,2.409,1.3623,3.1458,3.5899,3.5212,3.5212,3.6335,3.0446,3.2707,4.1294,4.9241,4.4183,2.8219,2.1766,3.9965,3.7699,5.1322,3.944,4.3758,3.9337,5.5176,2.6487,4.2556,3.6566,4.421,4.1915,4.2017,3.9847,4.2593,4.9065,4.2181,4.4542,3.47,2.7161,3.836,3.6393,3.907,3.6916,3.8925,3.7094,4.2373,3.9983,4.1612,3.6555,3.6804,4.7269,3.7378,4.0233,2.0776,3.3731,3.3717,4.067,3.1588,3.7518,4.1219,3.6042,3.958,3.7378,4.4575,4.174,5.009,4.1515,4.2009
ABL2,1.2756,2.0673,2.7487,2.96920939324,1.642,0.9862,0.3573,1.8762,1.642,1.412,0.9268,1.2271,0.8408,1.105,0.1257,1.3567,2.2482,1.3167,1.9895,2.3077,1.4859,1.4652,0.3231,1.4281,0.5271,1.412,2.1411,0.7407,2.4332,1.8996,1.5216,1.8722,1.2934,0.1388,2.5683,1.6964,1.0503,1.4911,2.7868,1.595,0.3796,0.0718,1.3511,1.0779,1.6093,1.9264,1.595,1.0079,1.9859,0.1124,1.4547,1.2209,1.1706,0.7999,1.6466,1.2934,1.3901,3.2002,1.6875,2.6895,1.6327,1.0363,1.6374,2.3732,2.6441,1.1706,1.0915,2.6114,2.004,2.4198,1.5661,3.0252,0.7579,0.9789,1.6875,1.4756,1.8323,0.6517,2.8641,1.1382,1.7575,0.7058,1.3901,0.5271,1.2992,1.9895,1.6374,2.2723,-0.4325,1.1184,1.0711,2.6918,0.9343,2.2051,1.5806,0.3907,1.4494,1.7185,2.0707,2.9281,2.791,2.4412,2.0183
ACAA1,4.6949,3.868,4.6966,5.39903671879,4.7458,4.3576,5.6761,4.7394,5.7597,4.6165,4.5675,3.5994,5.2188,5.1764,4.9069,4.4777,4.1923,4.9496,4.4142,3.8729,4.7231,5.1599,4.6894,4.8172,5.064,4.5577,5.2895,5.0041,4.2684,4.641,4.8319,4.3639,4.7415,5.2825,4.6059,4.6474,5.2623,4.429,4.4575,4.86,4.3758,5.0054,4.6253,5.0095,4.7613,4.6347,4.7597,5.1297,4.5571,4.5117,4.5305,4.9846,4.2142,4.7919,5.3122,4.735,5.3744,3.9099,4.3625,5.3144,4.8773,5.7965,4.5217,5.4738,4.4706,5.1538,5.2578,3.6983,5.2184,4.7421,5.2917,5.1716,5.4604,5.3338,4.6277,4.5386,4.9055,5.5865,4.5838,5.0623,5.0824,5.0418,4.892,4.3917,5.2392,4.6697,4.656,5.1445,4.8445,4.9298,4.551,3.6589,5.3212,4.4621,4.5577,5.0798,3.8501,5.3078,4.402,4.2033,4.8778,4.2631,4.402
ACACA,4.6921,4.7924,4.9468,3.36752746096,4.5136,4.1061,3.3689,4.2281,4.1555,3.7367,4.1027,2.9432,4.5723,3.9137,4.5429,4.2951,5.0955,4.546,4.0558,3.5959,4.6776,3.7226,4.5286,3.3105,4.9341,4.6708,3.7518,5.4699,4.3709,4.7767,3.8451,4.7033,4.3399,2.8219,4.3513,4.0471,3.4635,4.843,4.425,4.6387,5.3067,4.4088,4.232,3.5399,4.391,4.5009,3.0808,4.6171,3.4088,4.2243,4.0162,3.695,2.7868,5.1429,4.1044,5.3636,5.4715,5.0713,4.1359,4.4108,4.232,3.9938,4.504,3.8147,3.8788,4.4476,4.3104,3.6737,4.0892,4.7099,4.9284,3.6703,4.3263,2.5536,3.5073,4.1506,3.9838,5.0803,4.1883,5.7307,4.1425,4.7181,5.026,3.7836,4.2825,4.0287,4.7856,4.6938,4.2706,4.5711,3.9374,4.8987,3.6816,3.4451,4.4384,3.2343,4.5243,4.3917,4.7719,4.6236,3.5803,5.9844,3.868
ACACB,0.9038,-0.6643,0.5568,1.01151544738,-0.9686,1.4808,-1.4305,0.1776,-0.9971,1.0222,1.6327,0.0718,0.3231,0.8327,-0.1993,0.7407,1.2516,0.4233,1.2875,-1.0559,-0.1828,0.4657,-0.3752,1.1577,0.3796,0.2642,-1.2142,0.0158,-0.4325,1.1382,0.5859,1.4911,0.24,-0.6193,0.03,0.9493,-0.7588,0.8568,0.7493,-0.2328,-0.8599,0.5955,-0.1828,0.605,0.5859,0.7058,0.9343,0.1257,-0.8084,0.044,0.6425,0.044,-0.1345,-2.2447,1.9111,0.2029,0.0158,2.4883,1.6093,-0.4921,-0.8599,1.1447,0.1519,-0.1187,0.8883,0.9419,0.346,0.24,1.2455,1.5514,-0.1665,-0.3201,1.2455,-0.9132,0.5955,-1.1811,0.6239,1.0363,0.099,0.7146,-0.6643,0.5763,0.5069,-0.5543,0.9038,1.1577,-0.0277,0.3115,-1.5951,-0.3383,-1.5522,1.105,0.8327,0.2154,0.3231,0.7832,0.1648,0.3796,-0.5332,1.4494,0.9038,0.7407,0.4552
ACADL,-0.3383,-0.9971,0.517,0.246079518352,-1.8314,0.0718,-0.4521,-5.5735,-0.1031,-0.6873,-1.0262,-2.0529,-1.3183,0.5568,-2.2447,-1.9379,1.8524,0.9642,-1.5951,-3.458,-0.6193,-1.5522,-1.8314,0.2029,-0.9132,-1.3921,-5.5735,-0.7834,-0.4921,0.8488,-0.4921,-2.3884,-1.7322,-0.1187,-0.5543,-5.0116,-0.3201,-2.8262,-0.3566,-3.1714,-1.1172,-2.4659,-2.0529,-1.3921,0.1648,0.5859,-1.2142,-0.7108,-2.1779,-1.0559,-3.3076,1.1117,-2.8262,0.7832,0.8883,0.2881,-0.1828,1.4494,-1.4305,-5.5735,-4.035,-1.2142,-3.0469,0.2277,-0.6416,-1.5522,0.3115,0.2998,1.1447,0.2522,1.105,-0.3201,-0.6193,-0.8863,-2.4659,-2.2447,0.1903,-0.5332,0.0158,-1.2828,-3.816,-0.4921,-1.0262,0.6608,1.1117,-0.5973,-1.1172,0.8805,0.2029,-0.5543,-2.9324,-2.8262,-0.6193,-2.1779,-0.1828,-2.3147,-0.3022,1.6512,-1.3548,-3.816,1.177,-3.1714,-0.8863
ACADM,4.0037,3.9213,4.7181,4.40607379778,4.6329,4.2518,4.2914,3.3563,4.9222,4.4977,4.856,4.6439,3.3393,4.4602,4.0645,4.2593,3.8218,4.4516,4.9691,4.4745,3.2112,4.6012,3.417,4.9346,4.5117,4.7924,3.9965,4.5516,4.4913,4.3681,4.2616,3.5547,3.9534,5.4709,4.0436,4.0313,4.7474,5.6062,4.0653,4.7491,5.064,5.2679,5.4976,4.1078,4.4437,5.0862,4.7192,4.4764,4.7587,3.6566,4.3285,4.582,5.1334,3.9041,3.6277,4.3009,4.6347,5.1871,4.7159,3.2236,3.417,3.4556,3.9654,3.4856,3.6555,3.8239,4.8475,3.1637,3.6972,4.079,4.3688,4.1555,4.5392,3.4318,3.4048,4.3335,4.6171,3.7237,2.8137,4.7044,3.9515,4.8709,3.5249,4.6933,4.352,3.87,3.7836,4.0375,4.4803,3.9819,4.5249,3.8551,5.5916,4.7965,4.5423,3.5161,4.1515,4.5355,4.6866,4.6674,3.7507,5.0299,3.8729
ACOX1,4.1652,3.9079,4.0091,3.69497445186,4.1219,3.1971,3.7992,3.8033,3.5827,3.4007,4.3039,4.2025,3.6691,3.7127,3.4477,3.9709,3.5486,4.6089,3.8471,3.3278,3.867,3.87,4.9108,4.7719,4.225,3.958,2.1988,4.3779,3.9041,4.174,4.0985,3.3364,3.8511,3.5149,4.01,3.2811,3.668,4.6781,4.1466,3.9468,3.7507,3.865,4.1579,3.5287,4.222,3.9819,3.6474,3.1095,3.4687,3.4371,3.7138,3.8441,4.6566,3.6417,4.0436,4.3313,6.3191,4.0162,4.1498,3.8591,4.6966,3.8054,3.5399,4.2714,3.8501,3.8002,4.1628,3.6428,3.5669,3.9765,4.3321,4.4067,4.1044,2.8622,4.5361,3.7783,4.2126,3.6748,3.6289,4.7603,4.4128,3.5839,3.8461,3.3993,4.041,3.5596,3.7313,4.1318,4.2921,3.5559,3.4061,3.3393,3.4061,5.5258,3.1733,3.4971,3.928,3.5399,3.6125,4.0515,4.2419,4.3306,3.421
ACOX2,-0.0425,-1.3548,1.1184,2.36764006659,1.177,1.4065,1.736,0.434,0.537,1.0079,0.044,0.2154,-0.3383,1.6649,0.6969,0.2998,-1.6394,0.058,0.4447,-0.5125,0.688,0.6332,0.1388,0.7233,0.3573,1.2934,1.816,-1.3548,-0.3383,-1.8314,1.7097,-0.0725,0.6425,2.1702,1.1577,0.7748,1.3167,0.4761,0.6608,0.6332,-0.4719,0.2998,1.1706,1.9377,1.3283,0.346,0.6145,2.0465,0.6145,0.058,0.7748,1.4441,-1.5105,-0.7346,0.8488,1.0007,0.7916,0.03,0.8164,3.3321,0.2998,-1.1811,0.9038,1.5064,0.434,1.6093,1.766,-0.9686,1.6649,0.9115,-0.5543,0.7407,0.7748,3.1045,-0.013,1.0503,1.8524,0.5955,0.1519,-0.1665,3.0978,0.6969,0.7493,-0.4719,1.6512,1.7273,3.2002,1.6281,1.2696,-0.1187,3.6894,0.6969,-0.2671,0.2642,0.8488,-1.4305,0.0854,1.3791,1.412,-1.1172,2.5487,0.099,0.8164
ACOX3,2.5561,1.8604,2.1411,2.5995378889,3.1491,3.3032,4.3632,2.2901,2.9966,2.5263,3.6793,2.3308,2.5288,3.4398,2.1476,2.0979,1.9149,4.1261,3.3003,2.1541,2.2113,1.8078,3.1572,4.2404,3.5411,2.8178,2.4279,1.2934,2.043,1.7954,3.0654,2.004,3.4451,2.6441,2.1957,3.287,3.2617,1.7185,0.5955,2.7227,2.4753,2.3048,2.7422,2.6918,2.2783,2.9167,2.982,4.506,3.074,4.048,3.3105,2.5363,2.651,2.0844,3.0515,1.2147,2.5804,4.1211,2.2813,2.7847,2.8199,1.9264,3.4304,3.6804,2.5437,2.9186,2.4649,2.3926,2.6918,2.7551,2.1574,2.7931,3.5523,3.0927,3.7888,2.9432,3.2647,2.5462,2.2513,2.8819,4.2389,2.7847,2.5288,1.5514,2.4279,2.3394,2.5462,2.7183,2.3926,1.2992,3.5387,2.1541,3.5436,2.8974,1.6649,2.3048,1.614,2.2082,3.3883,0.679,3.0199,3.4331,1.9712
